severity,file,term,first_use_char_offset,occurrences,gloss_anywhere_on_page,first_use_in_table_or_callout,first_use_in_faq,term_load_bearing_for_page,first_use_context
HIGH,11193_hmrc-compliance-checks.html,Time to Pay,8270,1,no,no,no,yes,"is formal and the procedural rules change. Where a settlement cannot be paid, Time to Pay arrangements are usually available for first-time cases with credible future compliance. Where the settlemen"
HIGH,11384_hmrc-tax-investigations.html,Time to Pay,7904,2,no,no,no,yes,"nvestigation runs, compounds penalty exposure and signals cash-flow insolvency . Time to Pay breach or refusal , see What Happens If HMRC Rejects Your Time to Pay . Director's Loan Account expo"
HIGH,11788_frozen-bank-account.html,advertised / advertisement (notice sense),95,4,no,no,no,no,"ur company's bank account has been frozen, the most likely cause is a winding-up petition advertised in the London Gazette. Banks monitor the Gazette automatically, and the freeze happens within hours"
HIGH,11788_frozen-bank-account.html,the Gazette,109,17,no,no,no,no,"ank account has been frozen, the most likely cause is a winding-up petition advertised in the London Gazette. Banks monitor the Gazette automatically, and the freeze happens within hours of publicatio"
HIGH,13513_statement-of-affairs.html,Schedule 6,1767,2,no,no,no,no,"ting-charge creditors, unsecured creditors, and the statutory order of distribution under Schedule 6 of the Insolvency Act 1986. When a Statement of Affairs Is Required The Statement of Affairs ap"
HIGH,13513_statement-of-affairs.html,preferential debt / creditor,1649,2,no,no,no,no,"nd Wales) Rules 2016, and the content requirements are non-negotiable: secured creditors, preferential creditors, floating-charge creditors, unsecured creditors, and the statutory order of distributio"
HIGH,13766_preferential-non-preferential-creditors.html,Schedule 6,487,7,no,no,no,yes,"olvency runs on a waterfall fixed by the Insolvency Act 1986, principally section 175 and Schedule 6. Where your claim sits in that waterfall decides what you will actually receive, and in our files t"
HIGH,13766_preferential-non-preferential-creditors.html,officeholder / office-holder,1727,3,no,no,no,no,"xed-charge creditors are paid from their specific asset. The expenses of liquidation (the office-holder's fees and litigation costs) come next. Ordinary preferential creditors (Category 1, mainly empl"
HIGH,14158_hmrc-fraud-investigations.html,Time to Pay,11708,1,no,no,no,yes,"cases extend further. Yes, in principle. HMRC's Debt Management unit can agree Time to Pay on CDF settlements, typically with 12–24 month schedules on larger amounts. Where the underlying business can"
HIGH,14619_hmrcs-ir35-investigations-different.html,Time to Pay,6328,2,no,no,no,yes,to a licensed insolvency practitioner about whether the company can absorb it or whether Time to Pay or other options are needed. Consider whether to appeal. IR35 appeals are winnable; the tribunal ov
HIGH,14914_director-redundancy.html,National Insurance Fund,1425,3,no,no,no,yes,"Actually Is Director redundancy pay is statutory redundancy pay accessed through the National Insurance Fund, administered by the Redundancy Payments Service, which is part of the Insolvency Service. "
HIGH,14914_director-redundancy.html,officeholder / office-holder,978,1,no,no,no,no,"laim depends on one question: were you genuinely employed by the company, or only ever an officeholder? The distinction matters in law, and the Redundancy Payments Service (RPS) will probe it. We work"
HIGH,14914_director-redundancy.html,wrongful trading,12310,2,no,no,no,yes,m your employment entitlements. Personal guarantees are enforced through their own terms. Wrongful trading concerns are assessed by the liquidator. Your redundancy claim is a separate matter entirely.
HIGH,15010_what-happens-to-employees.html,National Insurance Fund,203,8,no,no,no,yes,"ncy law gives employees of insolvent employers a statutory safety net: claims against the National Insurance Fund for unpaid wages, holiday pay, notice pay, and redundancy. The Redundancy Payments Ser"
HIGH,15010_what-happens-to-employees.html,Schedule 6,5610,2,no,no,no,yes,"claim form. Preferential Creditor Status for Employees in Liquidation Under Schedule 6 of the Insolvency Act 1986, employees are preferential creditors for up to four months' unpaid wages (capped"
HIGH,15010_what-happens-to-employees.html,wrongful trading,833,1,no,no,no,no,"lvent grows the creditor pool, shrinks the recoverable assets, and pushes you closer to a wrongful trading claim under section 214 of the Insolvency Act 1986. Employees who are told early can claim fr"
HIGH,16106_vs-administrative-receivership.html,debenture,935,3,no,yes,no,no,"nistrative Receivership Who appoints Directors, floating charge holder, or court A debenture holder (secured creditor with a charge created before 15 Sept 2003) Who they serve All creditors (statuto"
HIGH,16106_vs-administrative-receivership.html,floating charge,899,6,no,yes,no,no,"ared Administration Administrative Receivership Who appoints Directors, floating charge holder, or court A debenture holder (secured creditor with a charge created before 15 Sept 2003) Who they"
HIGH,16106_vs-administrative-receivership.html,moratorium,1099,6,no,yes,no,no,"03) Who they serve All creditors (statutory duty) The appointing secured creditor Moratorium Yes, automatic freeze on all creditor enforcement No moratorium for other creditors Director control Su"
HIGH,16353_hmrc-follower-notice.html,Time to Pay,6297,2,no,no,no,yes,"thdraw the appeal in writing. Pay the underlying tax , or arrange payment through Time to Pay where funds are insufficient. Confirm receipt with HMRC in writing and retain the confirmation for t"
HIGH,16662_what-is-an-individual-voluntary-arrangement.html,advertised / advertisement (notice sense),6992,1,no,yes,no,no,"f distributions Throughout 5-year term Disbursements £150-400 total Statutory advertising, Bond of Indemnity, court fees Total to creditors ~£60-75% of contributions After fees"
HIGH,20268_retail-industry-insolvency-trends.html,misfeasance,13931,2,no,yes,no,no,or pattern of failed retail vehicles Take advice early; document the decision to stop Misfeasance (s.212 IA 1986) Lease guarantees swapped between companies; stock movements between connected entities
