source_url,source_slug,group,target_url,anchor_text,anchor_category,exact_match,page_position_pct,context_snippet
https://www.companydebt.com/liquidation/,liquidation,hub,/liquidation/creditors-voluntary-liquidation/,Creditors' Voluntary Liquidation,exact,yes,70,"!-- /wp:heading --> [[Creditors' Voluntary Liquidation]]: the voluntary route for insolvent companies. Process, costs, director protection.<!"
https://www.companydebt.com/liquidation/,liquidation,hub,/liquidation/compulsory-liquidation/,compulsory liquidation,exact,yes,46,"/h2> Voluntary liquidation is cheaper than [[compulsory liquidation]] because the directors set the pace, choose the IP, and avoid the £343 court fee plus £2,6"
https://www.companydebt.com/liquidation/,liquidation,hub,/liquidation/members-voluntary-liquidation/,Members' Voluntary Liquidation,exact,yes,73,ns the court to wind up your company. [[Members' Voluntary Liquidation]]: tax-efficient closure for solvent companies with retained profit.<!-- /wp:list-item
https://www.companydebt.com/liquidation/,liquidation,hub,/liquidation/company-strike-off-and-dissolution/,dissolve the company,process,no,8,"to insolvency, distributes proceeds in the legal order, and applies to Companies House to [[dissolve the company]]. The legal entity ceases to exist ro"
https://www.companydebt.com/liquidation/creditors-voluntary-liquidation/,creditors-voluntary-liquidation,core_spoke,/liquidation/,Company Liquidation,exact,yes,61,Related Guides [[Company Liquidation]]: full overview of the three statutory liquidation routes and how the CVL fits in. <l
https://www.companydebt.com/liquidation/creditors-voluntary-liquidation/,creditors-voluntary-liquidation,core_spoke,/liquidation/how-much-does-liquidation-cost/,liquidation costs,exact,yes,58,i> Pull together the records list above before your first IP call. Clean records save [[liquidation costs]] and reduce the risk in the conduct review. <!-- wp:paragrap
https://www.companydebt.com/liquidation/creditors-voluntary-liquidation/,creditors-voluntary-liquidation,core_spoke,/liquidation/what-happens-to-employees/,Employees in Liquidation,close_variants,no,71,nd to a creditor's petition before a CVL is no longer available. What Happens to [[Employees in Liquidation]]: redundancy rights and the National Insurance Fund. What Happens to Directors Du
https://www.companydebt.com/liquidation/creditors-voluntary-liquidation/,creditors-voluntary-liquidation,core_spoke,/liquidation/compulsory-liquidation/,compulsory liquidation,exact,yes,53,"nst wrongful trading risk and preserves the option of a controlled CVL rather than forced [[compulsory liquidation]]. If a winding-up petition has been filed or a statutory demand received, act wit"
https://www.companydebt.com/liquidation/creditors-voluntary-liquidation/,creditors-voluntary-liquidation,core_spoke,/director-redundancy/,director redundancy,exact,yes,42,"can I afford this if the company has no money?"" In most small-company CVLs, the answer is [[director redundancy]] funding. Directors who are also empl"
https://www.companydebt.com/liquidation/compulsory-liquidation/,compulsory-liquidation,core_spoke,/liquidation/,liquidation of a limited company,close_variants,no,91,"howOnlyOne"":true} --> Compulsory [[liquidation of a limited company]] does not automatically affect your personal assets, including your home. However, if you"
https://www.companydebt.com/liquidation/compulsory-liquidation/,compulsory-liquidation,core_spoke,/winding-up-petitions/,winding-up petition,exact,yes,0,Receiving a [[winding-up petition]] is one of the most urgent situations you can face as a director. Your bank account may be
https://www.companydebt.com/liquidation/compulsory-liquidation/,compulsory-liquidation,core_spoke,/liquidation/creditors-voluntary-liquidation/,a creditors' voluntary liquidation,close_variants,no,11,"f). The distinction that matters: in [[a creditors' voluntary liquidation]] (CVL), you initiate the process and choose the insolvency practitioner. In compulsory liq"
https://www.companydebt.com/liquidation/members-voluntary-liquidation/,members-voluntary-liquidation,core_spoke,/liquidation/,liquidation,exact,yes,21,"threshold, HMRC will treat the distribution as income unless it is made through a formal [[liquidation]]. The Two Leg"
https://www.companydebt.com/liquidation/members-voluntary-liquidation/,members-voluntary-liquidation,core_spoke,/liquidation/voluntary-liquidation/,voluntary liquidation,exact,yes,8,nd Who Is It For? An MVL is a form of [[voluntary liquidation]] for solvent companies. It allows directors to wind up a company that can pay all its debt
https://www.companydebt.com/liquidation/voluntary-liquidation/,voluntary-liquidation,core_spoke,/liquidation/creditors-voluntary-liquidation/,a Creditors' Voluntary Liquidation,close_variants,no,2,"iquidation under UK law: a Members' Voluntary Liquidation (MVL) for solvent companies and [[a Creditors' Voluntary Liquidation]] (CVL) for insolvent ones. We find that most directors who search for ""voluntary liquidati"
https://www.companydebt.com/liquidation/voluntary-liquidation/,voluntary-liquidation,core_spoke,/liquidation/members-voluntary-liquidation/,MVL,exact,yes,4,"tinction matters. Choosing the wrong one creates personal liability, and trying to run an [[MVL]] when the company is actually insolvent is one of the most expensive mistakes a director c"
https://www.companydebt.com/liquidation/voluntary-liquidation/,voluntary-liquidation,core_spoke,/liquidation/,liquidation,exact,yes,75,"39 of the Insolvency Act. Not preparing records. Walking into a [[liquidation]] without organised records makes everything slower, more expensive, and harder to defend."
https://www.companydebt.com/liquidation/company-strike-off-and-dissolution/,company-strike-off-and-dissolution,core_spoke,/liquidation/,liquidation,exact,yes,57,"igher. And if strike-off fails because debts were unresolved, the eventual cost of formal [[liquidation]] plus the wasted time and penalties will be significantly more than going straight to a CV"
https://www.companydebt.com/liquidation/company-strike-off-and-dissolution/,company-strike-off-and-dissolution,core_spoke,/closing-a-limited-company/,closing a limited company,exact,yes,87,cy test to check the position before deciding on a route. Or compare all your options for [[closing a limited company]]. FAQs on Com
https://www.companydebt.com/liquidation/company-strike-off-and-dissolution/,company-strike-off-and-dissolution,core_spoke,/liquidation/creditors-voluntary-liquidation/,a Creditors' Voluntary Liquidation,close_variants,no,49,"with HMRC before the strike-off can proceed. If speed matters and your company has debts, [[a Creditors' Voluntary Liquidation]] (CVL) can resolve everything in a more structured timeline with a licensed insolvency pra"
https://www.companydebt.com/liquidation/how-much-does-liquidation-cost/,how-much-does-liquidation-cost,core_spoke,/liquidation/creditors-voluntary-liquidation/,Creditors' Voluntary Liquidation (CVL),close_variants,no,16,"ragraph --> [[Creditors' Voluntary Liquidation (CVL)]]: £4,000 to £7,000 plus VAT for the IP's fee in a straightforward case. Add £500"
https://www.companydebt.com/liquidation/how-much-does-liquidation-cost/,how-much-does-liquidation-cost,core_spoke,/liquidation/,liquidation,exact,yes,7,"wp:paragraph --> This guide sets out the realistic cost of each [[liquidation]] route in the UK, what the fees actually cover, where hidden costs sit, who pays, and the"
https://www.companydebt.com/liquidation/how-much-does-liquidation-cost/,how-much-does-liquidation-cost,core_spoke,/liquidation/cant-afford-to-liquidate/,can't afford to liquidate,exact,yes,57,"lawful strike-off) carries far higher personal risk. See our guide on what to do when you [[can't afford to liquidate]] for the full set of options. <h2 class=""w"
https://www.companydebt.com/closing-a-limited-company/,closing-a-limited-company,bridge,/liquidation/,Company Liquidation,exact,yes,69,"Related Guides [[Company Liquidation]]: full overview of the three statutory liquidation routes (CVL, compulsory, MVL). <li"
https://www.companydebt.com/closing-a-limited-company/,closing-a-limited-company,bridge,/liquidation/company-strike-off-and-dissolution/,file a DS01 form,process,no,12,"ding --> Strike-off is the simplest way to close a company. You [[file a DS01 form]] with Companies House, the company name is published in the Gazette, and if nobody objects"
https://www.companydebt.com/closing-a-limited-company/,closing-a-limited-company,bridge,/liquidation/creditors-voluntary-liquidation/,A Creditors' Voluntary Liquidation,close_variants,no,34,Closing an Insolvent Limited Company [[A Creditors' Voluntary Liquidation]] is the standard route for closing an insolvent company when you decide to act before a cr
https://www.companydebt.com/closing-a-limited-company/,closing-a-limited-company,bridge,/liquidation/members-voluntary-liquidation/,A Members' Voluntary Liquidation,close_variants,no,23,Limited Company With Retained Profit [[A Members' Voluntary Liquidation]] is a formal liquidation for companies that can pay all their debts in full within 12 mont
https://www.companydebt.com/winding-up-petitions/,winding-up-petitions,bridge,/liquidation/compulsory-liquidation/,compulsory liquidation,exact,yes,2,u can set aside. It is a formal application to the High Court asking a judge to order the [[compulsory liquidation]] of your company under section 122 of the Insolvency Act 1986. If no response is fi
https://www.companydebt.com/winding-up-petitions/,winding-up-petitions,bridge,/liquidation/creditors-voluntary-liquidation/,Creditors' Voluntary Liquidation,exact,yes,64,anted. Dealing With an HMRC Winding-Up Petition: HMRC-specific tactics. [[Creditors' Voluntary Liquidation]]: the director-led alternative if the company is insolvent. Company Administratio
https://www.companydebt.com/winding-up-petitions/,winding-up-petitions,bridge,/liquidation/,liquidation,exact,yes,52,s significant. That difference is the core reason to act before the petition hearing. Our [[liquidation]] overview sets out a full comparison of the routes. <!-- wp:he
https://www.companydebt.com/director-redundancy/,director-redundancy,bridge,/liquidation/creditors-voluntary-liquidation/,CVL,exact,yes,33,} --> You can claim through both [[CVL]] and compulsory liquidation. Administration can also trigger RPS claims in certain circums
https://www.companydebt.com/liquidation/timeline/,timeline,process,/liquidation/,liquidation,exact,yes,40,liquidator files the final return with Companies House. The total time from the start of [[liquidation]] to removal from the register depends on how long the liquidation itself takes. <!-- /
https://www.companydebt.com/liquidation/creditor-meetings-in-liquidation/,creditor-meetings-in-liquidation,process,/liquidation/creditors-voluntary-liquidation/,a Creditors' Voluntary Liquidation,close_variants,no,5,"n Creditor Meetings in Liquidation In [[a Creditors' Voluntary Liquidation]], creditors no longer attend a physical meeting by default. Instead, the liquidator runs a"
https://www.companydebt.com/liquidation/how-to-prove-your-debt-in-company-liquidation/,how-to-prove-your-debt-in-company-liquidation,process,/liquidation/creditor-meetings-in-liquidation/,creditor meetings in liquidation,exact,yes,70,"editors. If you are owed a significant amount, your vote carries weight. See our guide on [[creditor meetings in liquidation]] for how voting works in practice. Yo"
https://www.companydebt.com/liquidation/liquidators-powers-and-duties/,liquidators-powers-and-duties,process,/liquidation/,company liquidation,exact,yes,98,"es, or investigation, seek independent legal advice. Company Debt connects directors with [[company liquidation]] advice who can help you understand your position and protect your interests within the pr"
https://www.companydebt.com/liquidation/how-to-choose-the-right-insolvency-procedure/,how-to-choose-the-right-insolvency-procedure,process,/liquidation/creditors-voluntary-liquidation/,A creditors' voluntary liquidation,close_variants,no,11,"When the Company Cannot Pay Its Debts [[A creditors' voluntary liquidation]] is the procedure most insolvent companies end up using. The company stops trading, an ins"
https://www.companydebt.com/liquidation/what-happens-to-directors-in-liquidation/,what-happens-to-directors-in-liquidation,director_conduct,/liquidation/,company liquidation,exact,yes,7,"This page explains what happens to directors during and after UK [[company liquidation]], what the liquidator investigates, what personal liabilities you may face, and how to pro"
https://www.companydebt.com/liquidation/what-happens-to-directors-in-liquidation/,what-happens-to-directors-in-liquidation,director_conduct,/liquidation/creditors-voluntary-liquidation/,CVL,exact,yes,46,who assume wrongful trading claims are rare. They are not. The liquidator assesses every [[CVL]] and compulsory liquidation for potential wrongful trading. The claims that proceed to cou
https://www.companydebt.com/liquidation/what-happens-if-a-director-hides-company-assets/,what-happens-if-a-director-hides-company-assets,director_conduct,/liquidation/what-happens-if-a-director-transfers-assets-before-insolvency/,transactions at undervalue,risk_consequence,no,20,"her is true. The lookback period for [[transactions at undervalue]] is two years. For preferences to connected parties, it is also two years. And for fraud,"
https://www.companydebt.com/liquidation/can-directors-pay-themselves-before-liquidation/,can-directors-pay-themselves-before-liquidation,director_conduct,/liquidation/what-happens-if-a-director-transfers-assets-before-insolvency/,transactions at undervalue,risk_consequence,no,21,liquidator. Both can be attacked as [[transactions at undervalue]] under section 238 if the company received nothing equivalent in return. If your business
https://www.companydebt.com/liquidation/when-should-a-director-stop-trading/,when-should-a-director-stop-trading,director_conduct,/liquidation/creditors-voluntary-liquidation/,CVL,exact,yes,49,"A director who called an insolvency practitioner, received a recommendation to enter [[CVL]], and then continued trading for another three months cannot rely on the initial call as a"
https://www.companydebt.com/liquidation/company-vehicles-and-equipment-in-liquidation/,company-vehicles-and-equipment-in-liquidation,assets,/liquidation/company-property-and-real-estate-in-liquidation/,company property in liquidation,exact,yes,51,liquidator focus on the assets that actually return value to the estate. See our guide to [[company property in liquidation]] for more on how disclaimer works in practice. <!-- wp:heading
https://www.companydebt.com/liquidation/liquidation-vs-dissolution-strike-off/,liquidation-vs-dissolution-strike-off,comparison,/liquidation/company-strike-off-and-dissolution/,Dissolving a company,close_variants,no,18,"or more for liquidation. But cost should be measured by total exposure, not filing fees. [[Dissolving a company]] that should have been liquidated can result in restoration proceedings, personal liabilit"
https://www.companydebt.com/liquidation/voluntary-vs-compulsory-liquidation/,voluntary-vs-compulsory-liquidation,comparison,/liquidation/compulsory-liquidation/,Compulsory liquidation,exact,yes,30,"uidator's conduct report and by the Insolvency Service when considering disqualification. [[Compulsory liquidation]], where a creditor had to force the issue, raises questions about why you did not act soon"
https://www.companydebt.com/liquidation/winding-up-petition-vs-compulsory-liquidation/,winding-up-petition-vs-compulsory-liquidation,comparison,/winding-up-petitions/,winding-up petition,exact,yes,0,"iquidation/winding-up-petition-vs-compulsory-liquidation/ --> A [[winding-up petition]] is not the same thing as compulsory liquidation, but directors use the terms interchangea"
https://www.companydebt.com/liquidation/winding-up-petition-vs-compulsory-liquidation/,winding-up-petition-vs-compulsory-liquidation,comparison,/liquidation/compulsory-liquidation/,compulsory liquidation,exact,yes,14,"e have written this page to set out the key differences between a winding-up petition and [[compulsory liquidation]], explain what happens at each stage, and clarify what options remain available to you at"
https://www.companydebt.com/liquidation/cva-vs-strike-off-vs-liquidation/,cva-vs-strike-off-vs-liquidation,comparison,/liquidation/company-strike-off-and-dissolution/,dissolution,exact,yes,61,"k-filings and HMRC deregistration: typically £500-£1,500. Timeline: 3 months from DS01 to [[dissolution]]. CVA: £5,000-£10,"
https://www.companydebt.com/liquidation/insolvency-vs-bankruptcy/,insolvency-vs-bankruptcy,comparison,/liquidation/,Company liquidation,exact,yes,91,"y affect my credit score?\u003c/strong\u003e""} --> Not directly. [[Company liquidation]] is recorded at Companies House, not on your personal credit file. However, if personal gu"
https://www.companydebt.com/liquidation/insolvency-vs-bankruptcy/,insolvency-vs-bankruptcy,comparison,/liquidation/compulsory-liquidation/,compulsory liquidation,exact,yes,17,"ou are all corporate insolvency processes: CVL, MVL (if solvent), CVA, administration, or [[compulsory liquidation]]. The company is a separate legal ent"
https://www.companydebt.com/liquidation/liquidating-a-charity-or-non-profit/,liquidating-a-charity-or-non-profit,special_case,/liquidation/creditors-voluntary-liquidation/,creditors' voluntary liquidation (CVL),close_variants,no,9,rity's legal structure. Charitable companies limited by guarantee follow largely the same [[creditors' voluntary liquidation (CVL)]] process as any other limited company. <
https://www.companydebt.com/liquidation/liquidating-a-limited-liability-partnership/,liquidating-a-limited-liability-partnership,special_case,/liquidation/creditors-voluntary-liquidation/,Creditors' Voluntary Liquidation,exact,yes,0,"ps Regulations 2001. The same three routes are available: Members' Voluntary Liquidation, [[Creditors' Voluntary Liquidation]], and compulsory winding up by the court."
https://www.companydebt.com/liquidation/liquidating-a-limited-liability-partnership/,liquidating-a-limited-liability-partnership,special_case,/liquidation/voluntary-liquidation/,voluntary liquidation,exact,yes,71,"he agreement requires a unanimous vote to wind up, a single dissenting member can block a [[voluntary liquidation]]. If there is no agreement, the default LLP Regulations require a majority. <!-- /wp:p"
https://www.companydebt.com/liquidation/liquidating-a-company-with-no-assets-or-bank-account-uk/,liquidating-a-company-with-no-assets-or-bank-account-uk,special_case,/liquidation/creditors-voluntary-liquidation/,Creditors' Voluntary Liquidation (CVL),close_variants,no,6,"wp:paragraph --> [[Creditors' Voluntary Liquidation (CVL)]] under s.84 IA 1986; director-initiated, IP funded by director or via Director Re"
https://www.companydebt.com/liquidation/can-i-liquidate-a-dormant-company/,can-i-liquidate-a-dormant-company,special_case,/liquidation/company-strike-off-and-dissolution/,Striking off a company,close_variants,no,95,"trative or court-supervised. ""[[Striking off a company]] with BBL outstanding is the cheap option."" Wrong. If you have BBL outstanding +"
https://www.companydebt.com/liquidation/can-i-liquidate-a-dormant-company/,can-i-liquidate-a-dormant-company,special_case,/liquidation/members-voluntary-liquidation/,MVL,exact,yes,1,"--> A dormant shell with £50,000 in reserves and no creditors is [[MVL]] territory with a 10% CGT outcome. A d"
https://www.companydebt.com/liquidation/can-i-liquidate-my-company-with-a-bounce-back-loan/,can-i-liquidate-my-company-with-a-bounce-back-loan,special_case,/liquidation/creditors-voluntary-liquidation/,Creditors' Voluntary Liquidation,exact,yes,5,"-- wp:paragraph --> We also cover what a liquidator actually does with the loan once a [[Creditors' Voluntary Liquidation]] begins. Written from our position as licensed insolvency practitioners at Company Debt, a"
https://www.companydebt.com/liquidation/can-i-start-a-new-company-after-liquidating-my-old-one/,can-i-start-a-new-company-after-liquidating-my-old-one,special_case,/liquidation/whats-the-risk-of-being-disqualified-as-a-director/,Director disqualification,exact,yes,23,"cally after twelve months. [[Director disqualification]] order or undertaking. If you are disqualified under the CDDA 1986, you cannot ac"
https://www.companydebt.com/liquidation/what-happens-to-employees/,what-happens-to-employees,consequences,/liquidation/creditors-voluntary-liquidation/,Creditors' Voluntary Liquidation,exact,yes,12,"re Made Redundant in Liquidation In a [[Creditors' Voluntary Liquidation]], employees are typically made redundant on or shortly after the date of the winding-up re"
https://www.companydebt.com/liquidation/what-happens-if-i-stop-paying-company-debts/,what-happens-if-i-stop-paying-company-debts,consequences,/liquidation/creditors-voluntary-liquidation/,CVL,exact,yes,14,"insolvency process before creditors start enforcement; through a CVA, administration, or [[CVL]]; retain control of the route, the timing, and in voluntary liquidation, the choice of pra"
https://www.companydebt.com/liquidation/what-happens-if-i-stop-paying-company-debts/,what-happens-if-i-stop-paying-company-debts,consequences,/winding-up-petitions/,winding-up petition,exact,yes,28,"re than £750 can serve a statutory demand on the company. This is the formal gateway to a [[winding-up petition]]. You have 21 days to pay, agree terms, or apply to set the demand aside. <!-- /wp:par"
https://www.companydebt.com/liquidation/redundancy-payments-for-directors-in-an-mvl/,redundancy-payments-for-directors-in-an-mvl,consequences,/liquidation/members-voluntary-liquidation/,MVL,exact,yes,0,"-in-an-mvl/ --> If you are closing a solvent company through an [[MVL]] (a form of voluntary liquidation), you may be entitled to a statutory redundancy payment"
https://www.companydebt.com/liquidation/redundancy-payments-for-directors-in-an-mvl/,redundancy-payments-for-directors-in-an-mvl,consequences,/director-redundancy/,director redundancy,exact,yes,10,raph --> We advise directors to get this right before the MVL starts. HMRC scrutinises [[director redundancy]] claims because some directors attempt to create or backdate employment relationships spec
https://www.companydebt.com/liquidation/should-i-close-my-company-or-try-to-save-it/,should-i-close-my-company-or-try-to-save-it,decision,/liquidation/creditors-voluntary-liquidation/,CVL,exact,yes,40,"no assets above £25,000, and no outstanding creditor claims. If the company has debts, a [[CVL]] is the appropriate route and typically costs from £5,000. <!--"
https://www.companydebt.com/liquidation/seek-insolvency-advice-before-missing-payments/,seek-insolvency-advice-before-missing-payments,decision,/liquidation/creditors-voluntary-liquidation/,Creditors' Voluntary Liquidation,exact,yes,14,"ss to informal creditor agreements, a Company Voluntary Arrangement, administration, or a [[Creditors' Voluntary Liquidation]]; whichever fits the company's position. <!-- wp:paragraph"
