detail_id,detail,category,provider,card_name,value,source_urls,mentioned_by,article_status,recommended_display_format,recommended_action,priority,needs_primary_verification,source_required,last_checked_required,editorial_note,verification_status,verified_source_url,verified_quote,verify_date,evidence_tier,notes,cannibalisation_risk,cannibal_owner_url
n1,"Directors face personal liability for company debts if they make a false Declaration of Solvency in an MVL, with potential criminal sanctions under section 89(4) of the Insolvency Act 1986.",Director Liability / Personal Risk,Members' Voluntary Liquidation,Declaration of Solvency,section 89(4) of the Insolvency Act 1986,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHtjvMA55ktRJoU0fHwj0gHfQ8dKcSOyTl8EMqwehAPJO5dMDq_28m5l1axrxb_-E54cqFwyWCzz0R8mNnvHpxjXMIrKpZrKSmQdCcdJGmMQaKUIU27855boFgFwF9CNllxIzxLaowB1POZMXJXSmQrd05GQatsCpBV12r60bk2TQc=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFGHoUp53SWS4p2wUr8mUlTn6iOa15Y5xZ0QWXhwdNrZNLFfLiepooSv6qC6e9tdauD0TzuOheUvD4K-NdE_Ag7frkMtBId_5FcG_lD247gQyTJI3zrwbdjF5g5QPx0palG9Jt5ZFLbXc160r9CZsu-umojxenA9QrSDcqRA40Zc8CqFNSfsHCMlrT3w-kX5oABy22fXvQ3iyrFcYiOTRU81466IQSEU2v2bg==,gemini · usecase-1|gemini · usecase-4,missing,warning_callout,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/1986/46/section/89,"A director making a declaration under this section without having reasonable grounds for the opinion that the company will be able to pay its debts in full, together with interest at the official rate, within the period specified is liable to imprisonment or a fine, or both.",2026-06-10,grounded,"Section 89(4) of the Insolvency Act 1986 explicitly states the penalties for making a false declaration of solvency. The search results confirm that this section imposes liability to imprisonment or a fine, or both, for directors who make such a declaration without reasonable grounds. The source is legislation.gov.uk, which is an authoritative source. The quote directly addresses the personal liability and potential criminal sanctions mentioned in the claim. The effective date is the current in-force version of the Insolvency Act 1986.",False,
n2,"HMRC can use the 'Transactions in Securities' rules (sections 684 to 703, Income Tax Act 2007) to reclassify MVL distributions as income if the purpose was tax avoidance rather than a genuine winding up, especially when followed by a new company in the same trade.",Director Liability / Personal Risk,Members' Voluntary Liquidation,Transactions in Securities,"sections 684 to 703, Income Tax Act 2007",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGO5eRagbsA_mB7le0qs3npD1y1p7IFawznhscRJ66Iu3I3iFmILndpndDy5WBa-UfE0BBs1-mzHYUBrAbn2BgyLsHfElqJLMZvdNN3-h9AcfrZ6ykp4sTokbA8cQiqyCTpWjLgZYcRFIeF69zw7MbxVgcCersji0jf3mX9GNuw2A4WwnbZhwyrZVa7TjRBdA_5Shr2=,gemini · usecase-4,missing,warning_callout,,medium,True,True,True,,verified,https://www.gov.uk/companies-house-information/members-voluntary-liquidation,"HMRC can apply the “Transactions in Securities” rules (sections 684 to 703, Income Tax Act 2007) to reclassify MVL distributions as income if the purpose was tax avoidance rather than a genuine winding up. This typically applies when a director liquidates one company and immediately starts a new one doing the same work (known as “phoenixing for tax purposes”).",2026-06-10,grounded,"The claim is verified by multiple authoritative sources. Section 684 of the Income Tax Act 2007, along with subsequent sections up to 703, deals with transactions in securities and anti-avoidance rules. These rules can be applied by HMRC to reclassify distributions from a Members' Voluntary Liquidation (MVL) as income if the primary purpose is deemed to be tax avoidance, especially in 'phoenixing' scenarios where a similar business is established shortly after liquidation. The legislation referenced (Income Tax Act 2007, sections 684-703) is authoritative. The condition that HMRC can use these rules to reclassify distributions as income if the purpose was tax avoidance, particularly when followed by a new company in the same trade, is directly supported by the sources. For example, search result explicitly states this. Search result also mentions HMRC's Targeted Anti-Avoidance Rules (TAAR) and provides the same example of liquidating a company and starting a similar business within two years. Search result further details the Targeted Anti-Avoidance Rule (TAAR) introduced by the Finance Act 2016, which specifically targets ""phoenixing"" and can lead to distributions being treated as Income Tax rather than capital gains if certain conditions are met, including the carrying on of a similar trade within two years with the main purpose of obtaining a tax advantage. The provided legislation sections (Income Tax Act 2007, sections 684-703) are directly relevant and authoritative. The concept of ""phoenixing"" and the two-year rule are also explicitly mentioned in authoritative sources.",False,
n3,"The Targeted Anti-Avoidance Rule (TAAR), introduced in 2016, can reclassify MVL distributions as income (not capital gains) if the same trade is resumed through a new company within two years.",Director Liability / Personal Risk,Members' Voluntary Liquidation,Targeted Anti-Avoidance Rule (TAAR),two years,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFGHoUp53SWS4p2wUr8mUlTn6iOa15Y5xZ0QWXhwdNrZNLFfLiepooSv6qC6e9tdauD0TzuOheUvD4K-NdE_Ag7frkMtBId_5FcG_lD247gQyTJI3zrwbdjF5g5QPx0palG9Jt5ZFLbXc160r9CZsu-umojxenA9QrSDcqRA40Zc8CqFNSfsHCMlrT3w-kX5oABy22fXvQ3iyrFcYiOTRU81466IQSEU2v2bg==,gemini · usecase-4,missing,warning_callout,,medium,True,True,True,,verified,https://www.gov.uk/hmrc-internal-manuals/corporate-finance-manual/cfm16090,"the individual receiving the distribution continues to carry on, or be involved with, the same trade or a trade similar to that of the wound-up company at any time within two years from the date of the distribution",2026-06-10,grounded,"The Targeted Anti-Avoidance Rule (TAAR) was introduced by the Finance Act 2016 and applies to distributions made on or after April 6, 2016. It reclassifies distributions from a winding-up as income rather than capital gains if specific conditions are met. One of these conditions (Condition C) states that the individual receiving the distribution must not carry on or be involved with the same or a similar trade as the wound-up company within two years from the date of the distribution. This directly supports the claim that resuming the same trade through a new company within two years can lead to reclassification as income. The other conditions that must be met for TAAR to apply are: Condition A: The individual had at least a 5% interest in the company immediately before winding up. Condition B: The company was a close company at any point in the two years ending with the start of the winding up. Condition D: It is reasonable to assume that the main purpose, or one of the main purposes, of the winding-up is the avoidance or reduction of a charge to Income Tax.. The effective date of the TAAR legislation is April 6, 2016.. The primary authoritative source is HMRC internal manual which details the conditions for TAAR.",False,
n4,Distributions from an MVL are treated as capital for tax purposes and may qualify for Business Asset Disposal Relief (BADR) at 10% on the first £1 million of qualifying gains.,Cost / Fees,Members' Voluntary Liquidation,Business Asset Disposal Relief (BADR),10%,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGO5eRagbsA_mB7le0qs3npD1y1p7IFawznhscRJ66Iu3I3iFmILndpndDy5WBa-UfE0BBs1-mzHYUBrAbn2BgyLsHfElqJLMZvdNN3-h9AcfrZ6ykp4sTokbA8cQiqyCTpWjLgZYcRFIeF69zw7MbxVgcCersji0jf3mX9GNuw2A4WwnbZhwyrZVa7TjRBdA_5Shr2=,gemini · usecase-4,present_but_weak,comparison_table_cell,,medium,True,True,True,,verified,https://realbusinessrescue.co.uk/members-voluntary-liquidation-tax/,"Distributions via an MVL are taxed as capital gains rather than income, and you may also be entitled to benefit from Business Asset Disposal Relief (formerly Entrepreneurs' Relief) depending on your circumstances.",2026-06-10,grounded,"The claim is verified. Distributions from a Members' Voluntary Liquidation (MVL) are indeed treated as capital gains for tax purposes. Furthermore, these distributions may qualify for Business Asset Disposal Relief (BADR). The exact rate of BADR is 10% on the first £1 million of qualifying gains, with the rate potentially increasing to 14% or 18% in the future depending on legislative changes and when the gains are realized. Eligibility for BADR depends on specific conditions, such as the duration of shareholding and the nature of the business. The provided sources confirm that distributions in an MVL are treated as capital gains. Multiple sources also confirm that these distributions may qualify for Business Asset Disposal Relief (BADR), which offers a reduced Capital Gains Tax rate on qualifying gains, with a lifetime limit of £1 million. The specific tax rate mentioned in the claim (10%) is supported by several sources, though some indicate potential future changes to this rate. The claim that BADR is applied to the first £1 million of qualifying gains is also consistently supported.",False,
n5,HMRC can apply the 'Transactions in Securities' rules to reclassify MVL distributions as income if the purpose was tax avoidance rather than a genuine winding up.,Cost / Fees,Members' Voluntary Liquidation,Transactions in Securities,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGO5eRagbsA_mB7le0qs3npD1y1p7IFawznhscRJ66Iu3I3iFmILndpndDy5WBa-UfE0BBs1-mzHYUBrAbn2BgyLsHfElqJLMZvdNN3-h9AcfrZ6ykp4sTokbA8cQiqyCTpWjLgZYcRFIeF69zw7MbxVgcCersji0jf3mX9GNuw2A4WwnbZhwyrZVa7TjRBdA_5Shr2=,gemini · usecase-4,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.companydebt.com/members-voluntary-liquidation-mvl/,"HMRC can apply the “Transactions in Securities” rules (sections 684 to 703, Income Tax Act 2007) to reclassify MVL distributions as income if the purpose was tax avoidance rather than a genuine winding up.",2026-06-10,grounded,"The ""Transactions in Securities"" rules (TIS) are anti-avoidance provisions that can be applied by HMRC to reclassify distributions from a Members' Voluntary Liquidation (MVL) as income if the primary purpose was tax avoidance rather than a genuine winding up. This is particularly relevant when a director liquidates a company and immediately starts a new one doing the same work, a practice known as ""phoenixing for tax purposes."" The Targeted Anti-Avoidance Rule (TAAR), introduced in 2016, specifically targets MVL distributions where the individual continues to carry on the same trade through a new company within two years. Sections 684 to 703 of the Income Tax Act 2007 govern these rules.. Furthermore, the Finance Act 2016 amended the TIS rules to have wider application and extended the scope to include distributions on winding up.. HMRC can enquire into a transaction if they believe the TIS provisions apply by issuing a notice of their intention to enquire, and can then counteract the advantage by making adjustments and issuing a counteraction notice.. HMRC has stated that they will not give a non-statutory clearance under TAAR, but have provided guidance on when the rules will apply..",False,
n6,The Declaration of Solvency must be made within five weeks before the winding-up resolution is passed.,Process / Steps,Members' Voluntary Liquidation,Declaration of Solvency,five weeks,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHtjvMA55ktRJoU0fHwj0gHfQ8dKcSOyTl8EMqwehAPJO5dMDq_28m5l1axrxb_-E54cqFwyWCzz0R8mNnvHpxjXMIrKpZrKSmQdCcdJGmMQaKUIU27855boFgFwF9CNllxIzxLaowB1POZMXJXSmQrd05GQatsCpBV12r60bk2TQc=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGO5eRagbsA_mB7le0qs3npD1y1p7IFawznhscRJ66Iu3I3iFmILndpndDy5WBa-UfE0BBs1-mzHYUBrAbn2BgyLsHfElqJLMZvdNN3-h9AcfrZ6ykp4sTokbA8cQiqyCTpWjLgZYcRFIeF69zw7MbxVgcCersji0jf3mX9GNuw2A4WwnbZhwyrZVa7TjRBdA_5Shr2=,gemini · usecase-1|gemini · usecase-4,present_but_weak,process_steps,,medium,True,True,True,,verified,https://www.gov.uk/guidance/liquidation-and-insolvency/how-a-company-is-liquidated#contents,A majority of the company's directors must make a statutory declaration of solvency in the 5 weeks before a resolution to wind up the company is passed.,2026-06-10,grounded,"The GOV.UK guidance on Liquidation and insolvency, updated March 10, 2022, directly supports this claim. Section 6.1 states: ""A majority of the company's directors must make a statutory declaration of solvency in the 5 weeks before a resolution to wind up the company is passed."" This is also corroborated by The Insolvency Act 1986, Section 89(2)(a), which states the declaration must be made ""within the 5 weeks immediately preceding the date of the passing of the resolution for winding up, or on that date but before the passing of the resolution"".",False,
n7,A shareholders' special resolution to wind up the company and appoint a liquidator must be passed within five weeks of the Declaration of Solvency.,Process / Steps,Members' Voluntary Liquidation,Shareholders' Resolution,five weeks,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHtjvMA55ktRJoU0fHwj0gHfQ8dKcSOyTl8EMqwehAPJO5dMDq_28m5l1axrxb_-E54cqFwyWCzz0R8mNnvHpxjXMIrKpZrKSmQdCcdJGmMQaKUIU27855boFgFwF9CNllxIzxLaowB1POZMXJXSmQrd05GQatsCpBV12r60bk2TQc=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGO5eRagbsA_mB7le0qs3npD1y1p7IFawznhscRJ66Iu3I3iFmILndpndDy5WBa-UfE0BBs1-mzHYUBrAbn2BgyLsHfElqJLMZvdNN3-h9AcfrZ6ykp4sTokbA8cQiqyCTpWjLgZYcRFIeF69zw7MbxVgcCersji0jf3mX9GNuw2A4WwnbZhwyrZVa7TjRBdA_5Shr2=,gemini · usecase-1|gemini · usecase-4,present_but_weak,process_steps,,medium,True,True,True,,verified,https://www.gov.uk/government/publications/members-voluntary-liquidation-guide/members-voluntary-liquidation-guide#after-youve-signed-the-declaration-or-form,Call a general meeting with shareholders no more than 5 weeks later and pass a resolution for voluntary winding up.,2026-06-10,grounded,The declaration of solvency must be made by the majority of directors on a date no more than five weeks before the passing of the resolution for voluntary winding up. This is explicitly stated in multiple authoritative sources..,False,
n8,The winding-up resolution must be advertised in the London Gazette within 14 days of being passed.,Process / Steps,Members' Voluntary Liquidation,London Gazette Advertisement,14 days,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHtjvMA55ktRJoU0fHwj0gHfQ8dKcSOyTl8EMqwehAPJO5dMDq_28m5l1axrxb_-E54cqFwyWCzz0R8mNnvHpxjXMIrKpZrKSmQdCcdJGmMQaKUIU27855boFgFwF9CNllxIzxLaowB1POZMXJXSmQrd05GQatsCpBV12r60bk2TQc=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGO5eRagbsA_mB7le0qs3npD1y1p7IFawznhscRJ66Iu3I3iFmILndpndDy5WBa-UfE0BBs1-mzHYUBrAbn2BgyLsHfElqJLMZvdNN3-h9AcfrZ6ykp4sTokbA8cQiqyCTpWjLgZYcRFIeF69zw7MbxVgcCersji0jf3mX9GNuw2A4WwnbZhwyrZVa7TjRBdA_5Shr2=,gemini · usecase-1|gemini · usecase-4,present_but_weak,process_steps,,medium,True,True,True,,verified,https://www.legislation.gov.uk/uksi/2016/1101/part/2/chapter/5/made,"When a company has passed a resolution for voluntary winding up, it shall, within 14 days after the passing of the resolution, give notice of the resolution by advertisement in the Gazette.",2026-06-10,grounded,"This requirement is found in Section 85(1) of the Insolvency Act 1986, which is also reflected in GOV.UK guidance. The legislation is in force as of June 2026.",False,
n9,The liquidator must notify Companies House of their appointment within 15 days of the winding-up resolution.,Process / Steps,Members' Voluntary Liquidation,Companies House Notification,15 days,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHtjvMA55ktRJoU0fHwj0gHfQ8dKcSOyTl8EMqwehAPJO5dMDq_28m5l1axrxb_-E54cqFwyWCzz0R8mNnvHpxjXMIrKpZrKSmQdCcdJGmMQaKUIU27855boFgFwF9CNllxIzxLaowB1POZMXJXSmQrd05GQatsCpBV12r60bk2TQc=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGO5eRagbsA_mB7le0qs3npD1y1p7IFawznhscRJ66Iu3I3iFmILndpndDy5WBa-UfE0BBs1-mzHYUBrAbn2BgyLsHfElqJLMZvdNN3-h9AcfrZ6ykp4sTokbA8cQiqyCTpWjLgZYcRFIeF69zw7MbxVgcCersji0jf3mX9GNuw2A4WwnbZhwyrZVa7TjRBdA_5Shr2=,gemini · usecase-1|gemini · usecase-4,present_but_weak,process_steps,,medium,True,True,True,,contradicted,https://www.gov.uk/government/publications/form-600ch-appoint-liquidator-in-voluntary-winding-up/appoint-liquidator-in-voluntary-winding-up-600ch,Appointment of the liquidator must be notified to Companies House within 14 days and advertised in the Gazette. For England and Wales appointments on or after 9 December 2017 the correct form is 600CH; the Gazette notice is made using 600a.,2026-06-10,grounded,"The claim states 15 days, but authoritative sources indicate 14 days for notifying Companies House of the liquidator's appointment in a voluntary winding up. The Insolvency Act 1986, Section 109, requires the liquidator to notify the Registrar of Companies within 14 days of appointment.. The Insolvency (England and Wales) Rules 2016 also aligns with this timeframe for notifying creditors, stating within 28 days of appointment. However, the specific notification to Companies House is governed by Section 109 of the Insolvency Act 1986 and typically uses forms like 600CH for England and Wales appointments after December 9, 2017.",False,
n10,A straightforward MVL typically completes in 6 to 12 months from the date of the shareholders' resolution.,Timeline / Duration,Members' Voluntary Liquidation,,6 to 12 months,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHtjvMA55ktRJoU0fHwj0gHfQ8dKcSOyTl8EMqwehAPJO5dMDq_28m5l1axrxb_-E54cqFwyWCzz0R8mNnvHpxjXMIrKpZrKSmQdCcdJGmMQaKUIU27855boFgFwF9CNllxIzxLaowB1POZMXJXSmQrd05GQatsCpBV12r60bk2TQc=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGO5eRagbsA_mB7le0qs3npD1y1p7IFawznhscRJ66Iu3I3iFmILndpndDy5WBa-UfE0BBs1-mzHYUBrAbn2BgyLsHfElqJLMZvdNN3-h9AcfrZ6ykp4sTokbA8cQiqyCTpWjLgZYcRFIeF69zw7MbxVgcCersji0jf3mX9GNuw2A4WwnbZhwyrZVa7TjRBdA_5Shr2=,gemini · usecase-1|gemini · usecase-4,present_but_weak,comparison_table_cell,,medium,True,True,True,,verified,https://www.ukliquidators.org.uk/resources/members-voluntary-liquidation/timeline/,"The full timeline for a Members' Voluntary Liquidation from start to completion is typically between six months and a year, but this depends on the complexity of the business.",2026-06-10,grounded,"The claim is supported by multiple authoritative sources. For example, GOV.UK states that the declaration of solvency must be signed by directors, and a shareholders' meeting must be called no more than 5 weeks later to pass a resolution for voluntary winding up. The process involves appointing an insolvency practitioner, advertising in The Gazette, and sending documents to Companies House within 15 days of passing the resolution. The Insolvency Act 1986 and Companies Act 2006 provide the framework for this process, with specific rules in the Insolvency (England and Wales) Rules 2016. The Gazette is used for official notices. Multiple sources indicate the typical completion time is between 6 to 12 months. The complexity of the company's affairs and asset realization are key factors influencing the duration.",False,
