subject,detail,verification_status,official_check_url,browser_prompt,notes
Wrongful Trading,Wrongful trading involves a dual test: an objective standard (what a reasonably diligent person in that role would have known) and a subjective standard (what the director actually knew).,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Wrongful trading involves a dual test: an objective standard (what a reasonably diligent person in that role would have known) and a subjective standard (what the director actually knew).. Return the exact quote and the official URL.,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Wrongful Trading,"Wrongful trading is a civil, not a criminal, offence.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Wrongful trading is a civil, not a criminal, offence.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Preferential Payments,"If a director is found to have a 'desire to prefer' a specific creditor, they could face personal liability for preferential payments.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): If a director is found to have a 'desire to prefer' a specific creditor, they could face personal liability for preferential payments.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Director's Loan Account,Attempts to retrospectively reclassify overdrawn director's loan account drawings as salary or dividends after insolvency are usually scrutinised and often rejected by courts.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Attempts to retrospectively reclassify overdrawn director's loan account drawings as salary or dividends after insolvency are usually scrutinised and often rejected by courts.. Return the exact quote and the official URL.,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Voluntary Strike-Off / Dissolution,"Creditors can apply to restore an improperly struck-off company to the register, even up to 20 years later.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Creditors can apply to restore an improperly struck-off company to the register, even up to 20 years later.. Return the exact quote and the official URL.",could not parse a structured verdict
Voluntary Strike-Off,Directors remain responsible for company affairs and liable for any outstanding debts until dissolution via strike-off.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Directors remain responsible for company affairs and liable for any outstanding debts until dissolution via strike-off.. Return the exact quote and the official URL.,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
HMRC,"Personal Liability Notices (PLNs) can be issued for unpaid PAYE, National Insurance contributions, VAT penalties, and Construction Industry Scheme (CIS) deductions.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Personal Liability Notices (PLNs) can be issued for unpaid PAYE, National Insurance contributions, VAT penalties, and Construction Industry Scheme (CIS) deductions.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
General,Failure to cooperate fully with an appointed liquidator can lead to a warrant for arrest.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Failure to cooperate fully with an appointed liquidator can lead to a warrant for arrest.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
General,A report on directors' conduct is submitted to the Secretary of State (Insolvency Service) within three months of the insolvency.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A report on directors' conduct is submitted to the Secretary of State (Insolvency Service) within three months of the insolvency.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Fraudulent Trading,"Fraudulent trading involves carrying on the company's business with the intent to defraud creditors or for any other fraudulent purpose, requiring proof of actual dishonesty and real moral blame.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Fraudulent trading involves carrying on the company's business with the intent to defraud creditors or for any other fraudulent purpose, requiring proof of actual dishonesty and real moral blame.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
