detail_id,detail,category,provider,card_name,value,source_urls,mentioned_by,article_status,recommended_display_format,recommended_action,priority,needs_primary_verification,source_required,last_checked_required,editorial_note,verification_status,verified_source_url,verified_quote,verify_date,evidence_tier,notes,cannibalisation_risk,cannibal_owner_url
n1,"For CVA approval, if the shareholders' decision differs from the creditors', the creditors' decision will prevail, subject to any court order.",Process / Steps,Company Voluntary Arrangement,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHdbpinn_FQU6i8WRTa-m4-zHdpiazPcyHLsX_HTzQoSKtvo-Mn8n-AAOpMrb4nw-NAIETT-w1ndptjWoOkiG9OdQKXfwYoY6XuWF-I_AhGLFnDVrcIfrqje-5jopCsUdGzQYr7bTYEu4JPjWp4XSJDmMvnFgu9slIRPeuWeTUuhCzzAATAMrHqiCgRJaCZCobZ5OWiX9bc8H2bN6n-k|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEM55JG_qFdiZfSxAYwIsoP-Sh7_6whYsYDSgy_v9cDa58JYYb5_0uu65nl6YLPk7BghclOboKFyLesBAFzAQDGkvSQ2si4Y8ILdJEyE3PVsdP1t20UaYGlvEta68GF8WfKmBonqY-eLxlIdXXCLLHQyRTqshE3pwXtwqReos9i7uMftrDOkqYyM3gzDDYvNINq0d4JYkmv|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFJpQ85eRKxqdyg8Cj-HjgXu1GI9PfcDxSST9UlFOmg_ylhQNOdQicG23vBbmhpKXi7k9ouwy7aySVuj5G-zFCvUtMOlYb4vLsxMRYTwVW18cAmz-8zfMB-44V7g5xL7HiTL3o569KFAVBZBY4r_R5rKMJ7umXpuZixNLrnTkLcKZvPxOBfdVYCjX1Ib8U|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEhqoK7sp1H3O5XErXSsBoncJMmDjNE8e1jLRR6GNXSz8aC1CPBNmNIx2nqJSVgE2at3awDyRKmtTq9NIBaopCDeUtsiUSUPonX1WsHlR879OkhLFVIs9aFEThn1ope2I4rU8w7ye5DdYIQeQWdeWj0196UzzVsKrTzL0_LmiAefctIASNIkBeu_lc88yU|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF40rPJcLXuuV5gwhvgxjrVm1Qfcf0pUqyqGSl6vgFq_aRYtPnLltQ79y0ngF-WSGPDEtMVQcIu_oRIrYZSlBXZpKwYjwrvfs8rffj9aNZCc1QAlA7vrqpx2Gnwn2tg-ZWwbPFFUGUp_4wfNnsG1J1yAe2rjVQC4ANN2WpiTR2NmXu-o-Ho9DEwrnNo4QjVhEKoTGX0SAmnFnJ4MhnhHB18eWUt_gcJUuvfn3qsRJMU,gemini · broad|gemini · usecase-1,missing,process_steps,,medium,True,True,True,,verified,,"If the decisions taken by the shareholders and the creditors differ, the decision of the creditors' will prevail. However, a shareholder can apply to the court within 28 days and upon such application the court may order the decision of the shareholders' meeting to have effect instead of the creditors' decision or make any other order as it thinks fit.",2026-06-10,grounded,"This quote is from Ashurst, which refers to Part I of the Insolvency Act 1986 and the Insolvency (England and Wales) Rules 2016. This aligns with the preference for legislation and recognized professional bodies restating official rules. GOV.UK guidance also supports this, stating that if the shareholders' vote differs, shareholders may apply to court, which implies the creditors' decision holds unless challenged.",False,
n2,A Company Voluntary Arrangement (CVA) is registered at Companies House once approved.,Process / Steps,Company Voluntary Arrangement,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHBOO04OR6hh9CsCLZOvGI2ApMU_EeLvvucInRG8GbJRMHiXDnou9OnnkiYhoZCszvXWlqte0Tw0Q0kRvZHw0-z8masFSTTTpYvcpjoT3bQsfikN6QqcgPeb3YDdXDuFMnvveCeLSqHRRofrfIK6LJW0AMt-K9ufi11alBfoaXdcizlpTBmump-oN3VJ4gbGhmnrhSPp_uRNiwa5ExoltuYJfJsLwDAznZ2AUTYgfLNiACbgUwVDQN5ttwStFGxlMEHUZrOIOO1IPFy881nZKs-R8m7rF-I_Q==,gemini · broad,missing,process_steps,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",False,
n3,"A CVA can also be proposed by an administrator or, more rarely, by a liquidator.",Process / Steps,Company Voluntary Arrangement,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEmTxuDqOEp8vuLfIM8LpqU3V6663_Knv69Sh08GOuVsHLDEssHIk8kws02KMWkjj_dcuVsjCY_rBigrYbQnhyEP-_OGLTXjtsVzb4lZtQOVNpJ3j_sdTYwB51CgcuHxUy_CayoKTM3e1d0X9Wj83d1jDzLh_J90hz2TapcN1pH44bM-lD_tl4GDwk9_jCalrqVdP8yMNjG-aMVa1I9cmvceS6Y_QiA=,gemini · broad,missing,process_steps,,medium,False,False,False,,unverified,,,,,,False,
n4,"Small companies may be eligible for an optional moratorium period while a CVA proposal is prepared, provided they have no more than 50 employees, balance sheet assets no greater than £5.1 million, and turnover no greater than £10.2 million.",Eligibility / Criteria,Company Voluntary Arrangement,Small Company Moratorium,"50 employees, £5.1 million assets, £10.2 million turnover",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG7tprw9KqnKoeByO-_WPVlzLOMJQmXPKmeIITc9inu2C-KzG3BAWFdKX-E1Z7S_3qKDBF20vVGg59cJoxk9I4qvDGOnMJixnvMuKRe0s3hgC4FuuLqPva4jLSpv46JEF6Kqh98HDx2ifshHMLMshbjkATMR_FGa6pOeJelb1EduMiW_k--IDULCh8cAeo=,gemini · broad,missing,comparison_table_column,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",False,
n5,A CVA is generally less expensive than administration.,Route Comparison,Company Voluntary Arrangement,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEM55JG_qFdiZfSxAYwIsoP-Sh7_6whYsYDSgy_v9cDa58JYYb5_0uu65nl6YLPk7BghclOboKFyLesBAFzAQDGkvSQ2si4Y8ILdJEyE3PVsdP1t20UaYGlvEta68GF8WfKmBonqY-eLxlIdXXCLLHQyRTqshE3pwXtwqReos9i7uMftrDOkqYyM3gzDDYvNINq0d4JYkmv,gemini · broad,missing,comparison_table_column,,medium,False,False,False,,unverified,,,,,,False,
n6,"An overdrawn director's loan account (DLA) is expected by HMRC and other creditors to be repaid into the CVA 'pot' over the arrangement's term, as it demonstrates commitment and fairness to creditors.",Director Liability / Personal Risk,Company Voluntary Arrangement,Director's Loan Account,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEYIrwSaRRG9iVKx3f8kT7sNvC4hTTpkrmeYBNawwZ0IxfOazLShrKHmhljQrvJjgMW1SynpKOb7SBs9GIVLjFmdVFLOpbZim8u2tjA5fIMpOtKD9-XOBh1feke2bjTM148AHVxDtSKAdAyRsl08WT3W15rkcyxXuJembpaiFDddQpCawsg40tflnVBI4wKxMTWZzkeWmG-FfjM,gemini · broad,missing,warning_callout,,medium,True,True,True,,verified,,"The overdraw DLA represents an asset of the company, a debtor which a liquidator, administrator, supervisor of a Company Voluntary Arrangement [CVA], will seek to recover. In a CVA, an overdrawn DLA will have to be disclosed in the Proposal [aka Business Plan] that is sent to creditors prior to approval. Creditors will certainly not vote in favour of a CVA where those with a financial stake in the business are simply out to make a quick buck at the expense of the creditors.",2026-06-10,grounded,"An overdrawn Director's Loan Account (DLA) is considered an asset of the company, and the supervisor of a Company Voluntary Arrangement (CVA) has a duty to seek its recovery for the benefit of creditors. The CVA proposal, which includes a payment schedule, must be approved by creditors, typically requiring 75% by value of those who vote. Creditors, including HMRC if applicable, are unlikely to approve a CVA if it does not appear equitable and demonstrate a genuine commitment from the directors to address all company debts and assets. While some sources suggest repayment can be gradual or offset rather than an immediate 'call in', the underlying expectation is that the DLA will be repaid over the term of the arrangement as part of the overall 'pot' for creditors. The Insolvency (England and Wales) Rules 2016 require a statement of affairs detailing company assets, which would include an overdrawn DLA.",False,
n7,"If a CVA fails and the company subsequently enters liquidation, a full investigation into director conduct will typically occur, which could lead to claims of misfeasance.",Director Liability / Personal Risk,Company Voluntary Arrangement,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEx-8inWIjSP_80ThSX9tuMF1kh5XPlSNtcBnoRuDk8DNQVD-RnNYzFoCRP0zjk3Su9RuDdRN-XFaXzywdK6eSz28gdezZQz5mvae0a2XouDDp79qrObVl5vB_jh7ynPw_AUIF9Tg==,gemini · broad,missing,warning_callout,,medium,True,True,True,,verified,,"When a company goes into insolvent liquidation, the liquidator will investigate the actions of the directors to determine to what extent, if any, they are responsible for the company's failure. They will carry out an investigation whether you choose to liquidate the company voluntarily or it is forced by the court. If a director of a company that has gone into liquidation has misapplied or retained any of the company's money or property; or been guilty of any misfeasance or breach of any fiduciary or other duty in relation to the company, the court may compel that director to account for the relevant money or property, or to contribute such amount to the company's assets as the court thinks just as compensation for the misfeasance or breach.",2026-06-10,grounded,The claim is supported by various authoritative sources. The Insolvency Service and liquidators are required to investigate director conduct in insolvent liquidations. Misfeasance claims are explicitly provided for under Section 212 of the Insolvency Act 1986 in the context of liquidation.,False,
n8,"A CVA is legally binding on all unsecured creditors who were entitled to vote, even those who did not receive notice (provided they were entitled to be notified).",Creditor / HMRC Treatment,Company Voluntary Arrangement,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHvyTk9nDQ_kCxmiyvyLcGJqB6E-OGoJcGdLMb3P6oLdL08Ge_NDQ9_uIgwySmPPzUbB7xtHcPCDx30ExDuCgPKFY00S_a7wZTLe3ZwpO9u9WFR68Epv2vrBBLgSejdokDC12SxzJrVFbRWRSybBvty0ZQvpFBlOELoLQBqcV-ktl6dmbpe5UkfrZJe,gemini · broad,missing,definition_block,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",False,
n9,"A CVA cannot bind secured creditors (e.g., banks with charges over assets) without their express consent, and they generally retain their rights over any assets used as collateral.",Creditor / HMRC Treatment,Company Voluntary Arrangement,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHvyTk9nDQ_kCxmiyvyLcGJqB6E-OGoJcGdLMb3P6oLdL08Ge_NDQ9_uIgwySmPPzUbB7xtHcPCDx30ExDuCgPKFY00S_a7wZTLe3ZwpO9u9WFR68Epv2vrBBLgSejdokDC12SxzJrVFbRWRSybBvty0ZQvpFBlOELoLQBqcV-ktl6dmbpe5UkfrZJe|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF40rPJcLXuuV5gwhvgxjrVm1Qfcf0pUqyqGSl6vgFq_aRYtPnLltQ79y0ngF-WSGPDEtMVQcIu_oRIrYZSlBXZpKwYjwrvfs8rffj9aNZCc1QAlA7vrqpx2Gnwn2tg-ZWwbPFFUGUp_4wfNnsG1J1yAe2rjVQC4ANN2WpiTR2NmXu-o-Ho9DEwrnNo4QjVhEKoTGX0SAmnFnJ4MhnhHB18eWUt_gcJUuvfn3qsRJMU,gemini · broad|gemini · usecase-1,missing,definition_block,,medium,True,True,True,,verified,,"The arrangement will be binding on both known and unknown creditors but does not affect the rights of secured or preferential creditors, unless they agree to the proposals.",2026-06-10,grounded,"The claim is supported by multiple authoritative sources, including legal guidance platforms that restate official rules and legal principles derived from the Insolvency Act 1986. A CVA generally binds unsecured creditors but requires express consent from secured creditors to affect their rights over collateral. Secured creditors can only vote on the unsecured portion of their debt.",False,
n10,"HMRC has a dedicated Voluntary Arrangement Service (VAS) that scrutinises CVA proposals to ensure they are 'fit, fair, and a better alternative to liquidation'.",Creditor / HMRC Treatment,HMRC,Voluntary Arrangement Service (VAS),,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEgWjavOz-vTb-i-ozH-Tq6V7u0IYAQaxh5gjyI5x2MKCUulb42Oc4MM8M4k6grHxrT37bE0Mft2Fce6mxaRNqXTN2quXCuL7zurB-oDO1aaBOWAgJBOa7SIP5XIHZW0v2PDlMNowrGakO2PpNpiNF7GnDg5UcjPHrePJWk20V40JppWCISTIrYTCNhQ3PLXy6W3DAK1gFXIARJ1mdqRSlqMY5DIiVw4G-SBgp6,gemini · broad,missing,definition_block,,medium,True,True,True,,verified,,You should always send CVA proposals to HMRC's Voluntary Arrangement Service. ... We will only vote in favour of a proposal where we think there is a realistic chance that the proposal can be successfully implemented.,2026-06-10,grounded,"HMRC has a dedicated Voluntary Arrangement Service (VAS) that receives CVA proposals. While the exact phrase 'fit, fair, and a better alternative to liquidation' is not present in a single sentence, the criteria for HMRC's support, as detailed in the 'Company Voluntary Arrangements ― supporting businesses' guidance on GOV.UK (effective October 23, 2025), align with these principles. HMRC will 'only vote in favour of a proposal where we think there is a realistic chance that the proposal can be successfully implemented,' indicating scrutiny for fitness and a better alternative to liquidation. Conditions such as the client being 'honest about their finances' and having 'made an optimised and achievable offer (best offer first time) to creditors' demonstrate the assessment for fairness and viability. HMRC also states it looks critically at projected income and expenditure and requires provision for payment of all future post-voluntary arrangement liabilities. A UK Parliament answer from 2016 also noted HMRC 'votes in favour of proposals that offer an optimum return to creditors; treat all creditors fairly; and most importantly demonstrate a clear understanding of how the company fell in to difficulties and make real changes to ensure that it can go forward not only paying against historic debt but paying its future tax in full and on time'.",False,
