detail_id,detail,category,provider,card_name,value,source_urls,mentioned_by,article_status,recommended_display_format,recommended_action,priority,needs_primary_verification,source_required,last_checked_required,editorial_note,verification_status,verified_source_url,verified_quote,verify_date,evidence_tier,notes
n1,Wrongful trading involves a dual test: an objective standard (what a reasonably diligent person in that role would have known) and a subjective standard (what the director actually knew).,Director Liability / Personal Risk,Wrongful Trading,"Section 214, Insolvency Act 1986",,,gemini · risk|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
n2,"Wrongful trading is a civil, not a criminal, offence.",Director Liability / Personal Risk,Wrongful Trading,"Section 214, Insolvency Act 1986",,,gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
n3,"If a director is found to have a 'desire to prefer' a specific creditor, they could face personal liability for preferential payments.",Director Liability / Personal Risk,Preferential Payments,"Section 239, Insolvency Act 1986",,,gemini · risk|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
n4,Attempts to retrospectively reclassify overdrawn director's loan account drawings as salary or dividends after insolvency are usually scrutinised and often rejected by courts.,Director Liability / Personal Risk,Director's Loan Account,Overdrawn Director's Loan Account,,,gemini · risk|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
n5,"Creditors can apply to restore an improperly struck-off company to the register, even up to 20 years later.",Risks / Pitfalls,Voluntary Strike-Off / Dissolution,Companies Act 2006,20 years,,gemini · risk,missing,warning_callout,,medium,True,True,True,,manual_review,,,2026-06-10,,could not parse a structured verdict
n6,"The Rating (Coronavirus) and Directors Disqualification (Dissolved Companies) Act 2021 specifically extended the Insolvency Service's powers to investigate directors of dissolved companies, even retrospectively.",Legal / Regulatory,Voluntary Strike-Off / Dissolution,Rating (Coronavirus) and Directors Disqualification (Dissolved Companies) Act 2021,,,gemini · risk,missing,source_note,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/2021/34/notes/contents,The provisions of the Act relating to director disqualification and compensation apply to companies dissolved on or after 10 December 2018.,2026-06-10,grounded,"The Rating (Coronavirus) and Directors Disqualification (Dissolved Companies) Act 2021 extends the powers of the Secretary of State (and the Department for the Economy in Northern Ireland) to investigate the conduct of directors of dissolved companies and to bring disqualification proceedings. The Act received Royal Assent on 15 December 2021, with the main provisions relating to director disqualification coming into force on 15 February 2022. The Act explicitly applies retrospectively to companies dissolved on or after 10 December 2018."
n7,A company must have ceased trading for at least three months to use voluntary strike-off.,Eligibility / Criteria,Voluntary Strike-Off,Companies Act 2006,three months,,gemini · usecase-4,missing,comparison_table_column,,medium,True,True,True,,verified,https://www.gov.uk/strike-off-your-limited-company-from-companies-register,"You cannot apply for strike off if, in the last 3 months, your company: has traded or carried on business; has changed its name; has made a disposal for value of property or rights that it held for the purpose of disposal for gain in the normal course of trading or carrying on business",2026-06-10,grounded,"This requirement is stated in official GOV.UK guidance for voluntary strike-off. This condition is also reiterated by Companies House guidance and other authoritative sources, indicating that a company must not have traded or carried on business in the three months prior to the application for voluntary strike-off."
n8,Directors remain responsible for company affairs and liable for any outstanding debts until dissolution via strike-off.,Director Liability / Personal Risk,Voluntary Strike-Off,Companies Act 2006,,,gemini · usecase-4,missing,warning_callout,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
n9,"Breaching Section 216 of the Insolvency Act 1986 (reusing a prohibited company name) is a criminal offence, punishable by imprisonment and/or a fine.",Director Liability / Personal Risk,Phoenix Companies,"Section 216, Insolvency Act 1986",,,gemini · risk|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/1986/45/section/216,"If a person acts in contravention of this section, he is liable to imprisonment or a fine, or both.",2026-06-10,grounded,"Section 216(4) of the Insolvency Act 1986, as of June 2026."
n10,"Under Section 217 of the Insolvency Act 1986, directors who breach Section 216 (reusing a prohibited company name) can be made personally liable for all debts of the new company incurred while using the prohibited name.",Director Liability / Personal Risk,Phoenix Companies,"Section 217, Insolvency Act 1986",,,gemini · risk|gemini · usecase-3,missing,warning_callout,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/1986/45/section/217,"A person is personally responsible for all the relevant debts of a company if at any time— (a)in contravention of section 216, he is involved in the management of the company, or... For the purposes of this section the relevant debts of a company are— (a)in relation to a person who is personally responsible under paragraph (a) of subsection (1), such debts and other liabilities of the company as are incurred at a time when that person was involved in the management of the company...",2026-06-10,grounded,"The claim is verified by Section 217 of the Insolvency Act 1986, which states that a person involved in the management of a company in contravention of Section 216 is personally responsible for all relevant debts, defined as debts and liabilities incurred while that person was involved in management."
