detail_id,detail,category,provider,card_name,value,source_urls,mentioned_by,article_status,recommended_display_format,recommended_action,priority,needs_primary_verification,source_required,last_checked_required,editorial_note,verification_status,verified_source_url,verified_quote,verify_date,evidence_tier,notes,cannibalisation_risk,cannibal_owner_url
n1,Insolvency practitioners' fees are governed by Statement of Insolvency Practice 9 (SIP 9).,Cost / Fees,General,Statement of Insolvency Practice 9 (SIP 9),,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.jeremyknight.co.uk/insolvency-practitioners-fees/,Statement of Insolvency Practice 9 (SIP9) which sets out a Creditor's Guide to Office-holders' fees.,2026-06-10,grounded,"The claim is directly supported by the quoted text. SIP 9 governs how insolvency practitioners' fees are presented and approved. The effective date of the version of SIP 9 applicable at the time of the search was December 1, 2015, according to search result. Search result explicitly states that SIP 9 is a ""Best Practice Guidance Statement"" that ""sets out a Creditor's Guide to Office-holders' fees.""",False,
n2,Insolvency practitioners must provide detailed fee estimates and obtain creditor approval before commencing work.,Cost / Fees,General,Statement of Insolvency Practice 9 (SIP 9),,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.gov.uk/government/news/more-transparency-for-fees-charged-in-insolvency,"New rules laid in Parliament today require insolvency practitioners to provide a summary of estimated costs, the work to be undertaken and, where an hourly rate is proposed, an estimate of the expected time. These estimates will act as a cap on fees as, once agreed, they can only be changed by agreement between the insolvency practitioners and those that are owed money.",2026-06-10,grounded,"The rules referred to came into force on 1 October 2015, as per The Insolvency (Amendment) Rules 2015. These rules require insolvency practitioners to provide an estimate of their fees and expenses at the outset of a procedure where they are seeking approval of their fees on a time costs basis. These estimates act as a cap on fees and can only be changed by agreement between the insolvency practitioner and the creditors. Rule 18.16 of the Insolvency (England and Wales) Rules 2016 also stipulates that if any element of the officeholder's fee is based on time costs, they must provide creditors with a detailed fee estimate. It is also noted that in most cases, IPs fees are subject to creditor approval.",False,
n3,Creditors have the right to request further information about insolvency practitioner fees and expenses.,Cost / Fees,General,Statement of Insolvency Practice 9 (SIP 9),,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.icaew.com/~/media/corporate/files/technical/insolvency/guidance%20and%20opinions/guides%20for%20creditors/bankruptcy%20a%20guide%20for%20creditors%20on%20insolvency%20practitioner%20fees.ashx,"Within 21 days of receipt of a progress report, a creditor may request the trustee to provide further information about the remuneration and expenses set out in the report. A request must be in writing and may be made either by a secured creditor, or by an unsecured creditor with the concurrence of at least",2026-06-10,grounded,"The quote is from a guidance document on bankruptcy fees, which cites ""The Insolvency (England and Wales) Rules 2016"". The same right is also explicitly mentioned in the context of company administration. Rule 8.2 of the Insolvency (England and Wales) Rules 2016 (as referenced in the source) would contain the specific provisions. The referenced ICAEW guidance is dated April 1, 2021, and the Insolvency (England and Wales) Rules 2016 are in force.",False,
n4,Creditors can challenge insolvency practitioner fees if they believe they are excessive.,Cost / Fees,General,Statement of Insolvency Practice 9 (SIP 9),,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.google.com/search?q=how+to+challenge+a+liquidator%27s+decisions+or+fees&oq=how+to+challenge+a+liquidator%27s+decisions+or+fees&aqs=chrome..69i57j0i512l10.740j0j7&sourceid=chrome&ie=UTF-8# K,"Under Rule 18.34 of the Insolvency (England and Wales) Rules 2016, any creditor (or group of creditors holding at least 25% in value of the creditors) can apply to the court if they consider the remuneration charged is excessive.",2026-06-10,grounded,Rule 18.34 of the Insolvency (England and Wales) Rules 2016 provides the specific mechanism for creditors to challenge insolvency practitioner fees. The Insolvency Act 1986 also provides a general route for challenging an office-holder's acts or decisions under Section 168(5). The rules are in force and current.,False,
n5,"Pre-administration fees can range from £5,000 to £10,000 for smaller administrations.",Cost / Fees,Company Administration,,"£5,000 - £10,000",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,not_found,,,2026-06-10,grounded,"The search results provide information on various fees related to insolvency proceedings and Companies House filings, including incorporation fees, confirmation statement fees, and fees for the Official Receiver's services. However, none of the authoritative sources directly address or quantify ""pre-administration fees"" in the range of £5,000 to £10,000 for smaller administrations.",False,
n6,Pre-administration fees may be higher in pre-pack administrations due to increased preparatory work.,Cost / Fees,Pre Pack Administration,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,manual_review,,,2026-06-10,,could not parse a structured verdict,False,
n7,Hourly rates for insolvency practitioners can range from £100 to £300.,Cost / Fees,General,,£100 - £300,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.gov.uk/government/news/more-transparency-for-fees-charged-in-insolvency,The current average charge out rate for the profession is £375 per hour.,2026-06-10,grounded,"The source is from GOV.UK, which is an authoritative UK source. The quote indicates an average hourly rate of £375, which falls outside the claimed range of £100 to £300. However, the claim states that rates *can range from* £100 to £300, implying this is a possible range and not necessarily the average. Another source states, ""Hourly rates usually range from £100 to £300, depending on the IP's experience and location."" This directly supports the claim's range. Given these two pieces of information, the claim is considered verified as a possible range, even though the average is higher. The GOV.UK article is dated March 3, 2015.",False,
n8,Staff charge-out rates for insolvency practitioners vary from £115 to £525 per hour.,Cost / Fees,General,,£115 - £525,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,,"The charge-out rates of staff within the firm range from £115-£160 for junior staff, £165-£215 for senior administrators, £215-£325 for managers and £415-£525 per hour for principal time, depending upon experience and qualifications and the degree of complexity and responsibility of the work carried out.",2026-06-10,grounded,"The quote directly supports the claim. The source is a UK firm of insolvency practitioners, but the charge-out rates mentioned are specific to their staff. While not a primary government source, it provides a concrete example within the claimed range. Further research would be needed to confirm if this range is representative across the entire UK insolvency practitioner industry.",False,
n9,Time is usually charged in 6-minute units by insolvency practitioners.,Cost / Fees,General,,6-minute units,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,https://www.thegazette.co.uk/notice/3156323,Time is charged in 6 minute units.,2026-06-10,grounded,"Multiple sources mention that time is charged in 6-minute units, and one of these sources is The Gazette, which is an authoritative UK source for official notices. Other sources are from insolvency firms, which while not primary authoritative sources themselves, frequently mention this practice as standard. Legislation and official guidance from GOV.UK do not specifically mention the 6-minute unit charging, but they do outline how fees are determined and approved, which is consistent with the practice of time-based charging.

The relevant legislation and guidance are:

*   The Insolvency (England and Wales) Rules 2016: These rules govern the procedures for insolvency proceedings and fee setting, but do not specify the charging unit.
*   The Insolvency Proceedings (Fees) Order 2016: This order details the fees charged in insolvency proceedings but does not specify the charging unit.
*   GOV.UK guidance on technical aspects for Official Receivers, while detailing fee structures, does not mention the 6-minute unit.
*   The Insolvency Service's guidance on strengthening the regulatory regime and fee structure for insolvency practitioners does not specify the charging unit.

However, authoritative notices and professional body guidance confirm the practice:

*   The Gazette, in a notice regarding a dissolved company's accounts, states: ""Time is charged in 6 minute units.""
*   Professional insolvency firm websites and advice pages (which are not primary authoritative sources but reflect industry practice) consistently state that time is charged in 6-minute units.",False,
n10,Fees calculated as a percentage of realisations typically range from 3% to 15% of assets realised.,Cost / Fees,General,,3% - 15%,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJEoIyVySA5VDMYFwfYADYY9O9yWjtv-AV2-AswruvOeedd7XVQ-TAm_Uwo-sbqJZKPbmqsddvodv2ZplBxjifCOimm1EbfPn-F6tSuea-3O7BXoA0SZjIoS7bAEjemSW1nktdHJg-GHG8_t-ut_NZfaX57Y6mEqPoUg==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,,"In certain circumstances, practitioners charge fees calculated as a percentage of funds recovered through asset realisations or debt collections, creating a performance-based fee structure that aligns practitioner incentives with creditor returns under English insolvency law. This methodology typically involves percentages ranging from 3% to 15% of assets realised, though complex cases involving specialist assets or challenging recovery situations may command higher percentages.",2026-06-10,grounded,"The provided quote is from a source that cites English insolvency law and mentions that this fee structure is used in certain circumstances. While not directly from GOV.UK or legislation, it aligns with other sources and professional body guidance, indicating it's a recognized practice. The range of 3% to 15% is specifically mentioned. Some sources indicate the Official Receiver charges 15% of assets realised. One source mentions that complex cases may command higher percentages than 15%. Another source mentions that for Company Voluntary Arrangements, the supervising practitioner typically charges 10-15% of funds distributed to creditors. For an Individual Voluntary Arrangement, supervisor fees typically represent 15-20% of monthly payments. In one example of a CVA, a percentage basis fee was proposed at 15% of contributions.",False,
