detail_id,detail,category,provider,card_name,value,source_urls,mentioned_by,article_status,recommended_display_format,recommended_action,priority,needs_primary_verification,source_required,last_checked_required,editorial_note,verification_status,verified_source_url,verified_quote,verify_date,evidence_tier,notes,cannibalisation_risk,cannibal_owner_url
n1,"A compulsory liquidation can be initiated if the company passes a special resolution for winding up by the court, as per Section 122(1) of the Insolvency Act 1986.",Eligibility / Criteria,Compulsory Liquidation,s.122(1) Insolvency Act 1986,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGAd6muqQubBc-b8JSuoiOcNGE6N5_98KTHex9ehI6a5b66YcloGlrbvT96sL1pk9LcXHyQd6uJz8BlyCbBaCTTNG7VXfaFdnuEo-M_-KF953hTpjFGXClHa7YJO1zYFC_Jjq61ofUDFSZdWESiM9mwuISusEqPX04wk2NISfYDmjuabQMQrq9Yz2ydg0BZ_eDLycskO1A=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH0mBaPrc7rK3KIndIQa7VtxcibyevqYsd9P_radxsEACQUEHQLZ7e1YjR5LuuF7DhMnpJ9DPrzXr3dCRNz75bNY-DZzZz5QYfn48D_BFJ6sbQeCSzPhAlRwlY2XlbwG_lGZ5L1kuueQNPEnX3zZM38v_h2US59yZBp9KHBdWDBMJcGPLTs_Phd9Yy99eXYhgU8jJW8lenTK5C3A6EfPeqGHw==,gemini · broad|gemini · usecase-4,missing,comparison_table_column,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/1986/45/section/122,"A company may be wound up by the court if— (a) the company has by special resolution resolved that the company be wound up by the court,",2026-06-10,grounded,Section 122(1)(a) of the Insolvency Act 1986 explicitly states this as a circumstance in which a company may be wound up by the court.,False,
n2,"A compulsory liquidation can be initiated if the court deems it 'just and equitable' for the company to be wound up, as per Section 122(1) of the Insolvency Act 1986.",Eligibility / Criteria,Compulsory Liquidation,s.122(1) Insolvency Act 1986,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGAd6muqQubBc-b8JSuoiOcNGE6N5_98KTHex9ehI6a5b66YcloGlrbvT96sL1pk9LcXHyQd6uJz8BlyCbBaCTTNG7VXfaFdnuEo-M_-KF953hTpjFGXClHa7YJO1zYFC_Jjq61ofUDFSZdWESiM9mwuISusEqPX04wk2NISfYDmjuabQMQrq9Yz2ydg0BZ_eDLycskO1A=|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH0mBaPrc7rK3KIndIQa7VtxcibyevqYsd9P_radxsEACQUEHQLZ7e1YjR5LuuF7DhMnpJ9DPrzXr3dCRNz75bNY-DZzZz5QYfn48D_BFJ6sbQeCSzPhAlRwlY2XlbwG_lGZ5L1kuueQNPEnX3zZM38v_h2US59yZBp9KHBdWDBMJcGPLTs_Phd9Yy99eXYhgU8jJW8lenTK5C3A6EfPeqGHw==,gemini · broad|gemini · usecase-4,missing,comparison_table_column,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/1986/45/section/122,A company may be wound up by the court if—(g) the court is of the opinion that it is just and equitable that the company should be wound up.,2026-06-10,grounded,Section 122(1)(g) of the Insolvency Act 1986 confirms that a company can be wound up by the court if it is deemed 'just and equitable'.,False,
n3,An unpaid judgment debt is a typical way to evidence a company's inability to pay its debts for a winding-up petition.,Eligibility / Criteria,Compulsory Liquidation,winding-up petition,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGAd6muqQubBc-b8JSuoiOcNGE6N5_98KTHex9ehI6a5b66YcloGlrbvT96sL1pk9LcXHyQd6uJz8BlyCbBaCTTNG7VXfaFdnuEo-M_-KF953hTpjFGXClHa7YJO1zYFC_Jjq61ofUDFSZdWESiM9mwuISusEqPX04wk2NISfYDmjuabQMQrq9Yz2ydg0BZ_eDLycskO1A=,gemini · broad,missing,comparison_table_column,,medium,True,True,True,,verified,https://www.legislation.gov.uk/ukpga/1986/45/section/123,"A company is deemed unable to pay its debts—... (b) if execution or other process issued on a judgment, decree or order of any court in favour of a creditor is returned unsatisfied in whole or in part; or ... (e) if it is proved to the satisfaction of the court that the company is unable to pay its debts as they fall due.",2026-06-10,grounded,"The quote is from Section 123 of the Insolvency Act 1986, which defines 'inability to pay debts' for the purpose of winding up a company. The GOV.UK guidance also lists a court judgment as evidence of money owed for a winding-up petition.",False,
n4,The court fee for filing a winding-up petition is currently around £343.,Cost / Fees,Compulsory Liquidation,winding-up petition,£343,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECNIvckKCrYRIRvkotBD_hMUEwTFHQv-TeUAmCLrqgnDzxJb7hnx02OUKBNEniqS8K97Ispf4lCMykicgC1e_yOS5f3ruUnbWzXJcvm3FEtniRcF5YC2fjXIZVf7RUi4HeoSJw4gRZ1iEOZenAcvO_HPHIfAQby0DqHu3TN0ghRqXo8MpEvaajl2LPAHOdXKpmqiGz_P5R3LJImxwO0S-YMT7j_UfGlYfYBaum6H2vJdbCyiuCWsprgj1DrFH0xeM|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHwASZo6QwUlKRQvz9BuFk5kCijCp0qvgXgr5RskLKMPyyEocet8Bx1JUFK27EtbUixsR0M-GkXpMwCYFmOpIyOm2olEB0E9f_THeQO-fxgA1nW0pJHZ_HFN41ehR-HPeeLtPqrNrtMnQDczLt7TA==,gemini · broad|gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,manual_review,,,2026-06-10,,"verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",False,
n5,"A deposit of £2,600 must be paid to the Official Receiver when a winding-up petition is filed.",Cost / Fees,Compulsory Liquidation,winding-up petition,"£2,600",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECNIvckKCrYRIRvkotBD_hMUEwTFHQv-TeUAmCLrqgnDzxJb7hnx02OUKBNEniqS8K97Ispf4lCMykicgC1e_yOS5f3ruUnbWzXJcvm3FEtniRcF5YC2fjXIZVf7RUi4HeoSJw4gRZ1iEOZenAcvO_HPHIfAQby0DqHu3TN0ghRqXo8MpEvaajl2LPAHOdXKpmqiGz_P5R3LJImxwO0S-YMT7j_UfGlYfYBaum6H2vJdbCyiuCWsprgj1DrFH0xeM|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHwASZo6QwUlKRQvz9BuFk5kCijCp0qvgXgr5RskLKMPyyEocet8Bx1JUFK27EtbUixsR0M-GkXpMwCYFmOpIyOm2olEB0E9f_THeQO-fxgA1nW0pJHZ_HFN41ehR-HPeeLtPqrNrtMnQDczLt7TA==,gemini · broad|gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,verified,"https://www.gov.uk/wind-up-company-that-owes-you-money, https://www.legislation.gov.uk/uksi/2016/1024/rule/7.7/made, https://www.justice.gov.uk/courts/procedure-rules/civil/practice-directions/insolvency/insolvency-pd","The fees are: £343 - court fees; £2,600 - petition deposit (to manage the 'winding-up'). A petition may not be filed unless— (a)a receipt for the deposit payable to the official receiver is produced on presentation of the petition. Unless the petition is one in respect of which rule 7.7(2)(b) of the Insolvency Rules applies, a winding up petition will not be treated as having been presented until the Court fee and official receiver's deposit have been paid.",2026-06-10,grounded,"The GOV.UK website confirms the £2,600 petition deposit. The Insolvency (England and Wales) Rules 2016 (Rule 7.7) and the Practice Direction – Insolvency Proceedings – Civil Procedure Rules (Section 9.3.1) establish the requirement for this deposit to be paid to the Official Receiver when a winding-up petition is filed. The increase to £2,600 for creditors' winding-up petitions took effect from 1 November 2022.",False,
n6,"The petitioning creditor's legal fees for a compulsory liquidation typically range from £1,500 to £4,000.",Cost / Fees,Compulsory Liquidation,winding-up petition,"£1,500-£4,000",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECNIvckKCrYRIRvkotBD_hMUEwTFHQv-TeUAmCLrqgnDzxJb7hnx02OUKBNEniqS8K97Ispf4lCMykicgC1e_yOS5f3ruUnbWzXJcvm3FEtniRcF5YC2fjXIZVf7RUi4HeoSJw4gRZ1iEOZenAcvO_HPHIfAQby0DqHu3TN0ghRqXo8MpEvaajl2LPAHOdXKpmqiGz_P5R3LJImxwO0S-YMT7j_UfGlYfYBaum6H2vJdbCyiuCWsprgj1DrFH0xeM|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHwASZo6QwUlKRQvz9BuFk5kCijCp0qvgXgr5RskLKMPyyEocet8Bx1JUFK27EtbUixsR0M-GkXpMwCYFmOpIyOm2olEB0E9f_THeQO-fxgA1nW0pJHZ_HFN41ehR-HPeeLtPqrNrtMnQDczLt7TA==,gemini · broad|gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,not_found,,,2026-06-10,grounded,"Authoritative UK sources such as GOV.UK and the Insolvency Service guidance (e.g.,) provide information on court fees (£343) and the petition deposit (£2,600) for a winding-up petition. However, these sources do not specify a typical range for the 'petitioning creditor's legal fees' (i.e., solicitor's professional fees) for a compulsory liquidation. While other non-authoritative sources suggest figures for legal fees, the instructions explicitly prohibit relying on such sources for the verdict. Therefore, the claim regarding the typical range of legal fees cannot be verified against the authoritative sources provided.",False,
n7,"The total initial outlay for the petitioning creditor in a compulsory liquidation can be in the range of £3,500 to £4,000.",Cost / Fees,Compulsory Liquidation,winding-up petition,"£3,500-£4,000",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECiF_QCsj1UtmRwz3Yxn1b6m1Uc-cMAXAfC1ZFZH7n2wyvbE25GO4Psz4WYKUSHTFss-_yhN_KS9KM1U03Jt-K6PzdJ2MiWiOgN-cT3haOeHkpJ3kXduVo_KHQ_Yhhpbh_6UDxSA3C8HeQcK_IvgWom2-vtd2zdXLULp2HEQ9B43u0BQmDmMFOunNMItiErsg1PXY-8SojulWDKytN-3KArU4w6GQLtQ==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,contradicted,https://www.gov.uk/wind-up-a-company-that-owes-you-money,"The fees are: £343 - court fees. £2,600 - petition deposit (to manage the 'winding-up').",2026-06-10,grounded,"According to official GOV.UK guidance, the mandatory court fee for a winding-up petition is £343 and the petition deposit to the Official Receiver is £2,600. These two fixed costs alone total £2,943. The 'total initial outlay' for a petitioning creditor would also include other essential disbursements such as process server fees (typically £100-£200 plus VAT) and the cost of advertising the petition in The London Gazette (approximately £80-£120 plus VAT). Furthermore, solicitors' professional fees for preparing, issuing, and progressing the petition are a significant component of the initial outlay, with estimates for drafting alone ranging from £1,500 to £2,000 plus VAT for a non-complex case, or general legal costs between £1,000 and £5,000. Even with the lowest estimates for these additional costs (e.g., £100 for process server, £80 for advertising, and a conservative £1,000 for initial legal fees), the total initial outlay would be approximately £2,943 + £100 + £80 + £1,000 = £4,123. This sum exceeds the upper end of the claimed range of £3,500 to £4,000. The Official Receiver's deposit was increased from £1,600 to £2,600 from 1 November 2022.",False,
n8,"The Official Receiver charges statutory fees including an administration fee of £5,000 and a general fee of £6,000 for winding-up by the court.",Cost / Fees,Official Receiver,,"£5,000 (admin), £6,000 (general)",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECiF_QCsj1UtmRwz3Yxn1b6m1Uc-cMAXAfC1ZFZH7n2wyvbE25GO4Psz4WYKUSHTFss-_yhN_KS9KM1U03Jt-K6PzdJ2MiWiOgN-cT3haOeHkpJ3kXduVo_KHQ_Yhhpbh_6UDxSA3C8HeQcK_IvgWom2-vtd2zdXLULp2HEQ9B43u0BQmDmMFOunNMItiErsg1PXY-8SojulWDKytN-3KArU4w6GQLtQ==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,contradicted,https://www.legislation.gov.uk/uksi/2016/692/schedule/1/made,"Winding up by the court other than a winding up on a petition presented under section 124A – official receiver's administration fee. On the making of a winding-up order, other than on a petition presented under section 124A, for the performance of the official receiver's duties as official receiver, including the duty to investigate and report on the affairs of bodies in liquidation, the fee of— [F3£6,000]. Official receiver's general fee. On the making of a bankruptcy order or the making of a winding up order by the court for the costs not recovered out of the official receiver's administration fee of administering— (a) bankruptcy orders, (b) winding up orders made by the court the fee of— [F5£7,200].",2026-06-10,grounded,"The claim states an administration fee of £5,000 and a general fee of £6,000. According to The Insolvency Proceedings (Fees) Order 2016, as amended by The Insolvency Proceedings (Fees) (Amendment) Order 2024, which came into force on 9 January 2025, the Official Receiver's administration fee for winding up by the court (other than a petition presented under section 124A) is £6,000. The Official Receiver's general fee is £7,200. The original fees of £5,000 for the administration fee and £6,000 for the general fee were applicable prior to the 2025 amendment.",False,
n9,"Insolvency Practitioner (IP) fees for compulsory liquidation typically range from £5,000 to £10,000, or around £3,000 to £5,000+ once wider costs are factored in.",Cost / Fees,Insolvency Practitioner,,"£3,000-£10,000",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECiF_QCsj1UtmRwz3Yxn1b6m1Uc-cMAXAfC1ZFZH7n2wyvbE25GO4Psz4WYKUSHTFss-_yhN_KS9KM1U03Jt-K6PzdJ2MiWiOgN-cT3haOeHkpJ3kXduVo_KHQ_Yhhpbh_6UDxAsmG|https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHEUJDlWqPj-o-QRF56VqCoJRNObSt0dCORT6USJGYGErsTW3tSFJU6-xLwdy5MsO915wMSCj2RtQ7Eg0KvIfODU6RmPPpA32uNRqSEM6RxLOboOGSnHloQZ-jZ5My-dd_eXymuiEdSvYheGHiX4oQWOpzi9GBFQJl_OMJGc_sxdVMJ3ybsIpHaMbb9ZI70-nvP2ZLEwPrn,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,not_found,,,2026-06-10,grounded,"Authoritative UK sources, including GOV.UK and The Insolvency Service official guidance, legislation on legislation.gov.uk (such as The Insolvency (England and Wales) Rules 2016 and The Insolvency Proceedings (Fees) Order 2016), and guidance from recognised professional bodies (like ICAEW), detail the statutory fees charged by the Official Receiver in compulsory liquidations and the mechanisms for determining Insolvency Practitioner (IP) remuneration (e.g., by creditors' committee or court). However, these sources do not provide typical fee ranges for IP fees in compulsory liquidation, either for the IP's remuneration directly or for wider costs factored in. While some sources mention specific Official Receiver administration fees (e.g., £5,000, £7,500, or a £7,200 general fee) and petition costs (e.g., £2,600 submission fee and £280 court hearing fee), these are distinct from the typical fee ranges for IPs as stated in the claim. The authoritative sources focus on the *process* of fee approval and statutory charges rather than typical commercial fee amounts.",False,
n10,"The overall cost for a compulsory liquidation process can be between £1,000 and £7,500, depending on the company's size and complexity.",Cost / Fees,Compulsory Liquidation,,"£1,000-£7,500",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQECiF_QCsj1UtmRwz3Yxn1b6m1Uc-cMAXAfC1ZFZH7n2wyvbE25GO4Psz4WYKUSHTFss-_yhN_KS9KM1U03Jt-K6PzdJ2MiWiOgN-cT3haOeHkpJ3kXduVo_KHQ_Yhhpbh_6UDxSA3C8HeQcK_IvgWom2-vtd2zdXLULp2HEQ9B43u0BQmDmMFOunNMItiErsg1PXY-8SojulWDKytN-3KArU4w6GQLtQ==,gemini · usecase-2,missing,comparison_table_cell,,medium,True,True,True,,contradicted,,"The OR's administration fee for winding up by the court other than a winding up on a petition presented under section 124A Insolvency Act 1986 will increase from £5,000 to £6,000. The OR's general fee will increase from £6,000 to £7,200.",2026-06-10,grounded,"The Insolvency Proceedings (Fees) (Amendment) Order 2024, effective from 9 January 2025, significantly updated the fees for compulsory liquidation. The Official Receiver's administration fee for a general winding up by the court is £6,000, and the Official Receiver's general fee is £7,200. These two mandatory fees alone total £13,200. Additional costs, such as the court fee (£280 or £343) and the petition deposit (£2,600), further increase the overall cost, demonstrating that the minimum statutory fees for compulsory liquidation far exceed the claimed range of £1,000 to £7,500.",False,
