subject,detail,verification_status,official_check_url,browser_prompt,notes
Creditors' Voluntary Liquidation,Creditors must receive at least 7 days' notice of the proposed liquidation and decision procedure.,contradicted,https://www.legislation.gov.uk/uksi/2016/1024/rule/15.11/made,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Creditors must receive at least 7 days' notice of the proposed liquidation and decision procedure.. Return the exact quote and the official URL.,"Rule 15.11(1) of The Insolvency (England and Wales) Rules 2016 specifies different minimum notice periods for decision procedures in creditors' voluntary winding up, depending on the circumstances. While 14 days and 7 days are applicable in certain conversion scenarios, 'in other cases' (which would cover a standard CVL) the minimum notice required for decisions of creditors for the appointment of a liquidator is 3 business days. This contradicts the claim that creditors must receive at least 7 days' notice."
Creditors' Voluntary Liquidation,"Fraudulent trading is a criminal offence under Section 213 of the Insolvency Act 1986 and the Companies Act 2006, and can lead to personal liability for company debts, fines, and a prison sentence of up to 10 years.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Fraudulent trading is a criminal offence under Section 213 of the Insolvency Act 1986 and the Companies Act 2006, and can lead to personal liability for company debts, fines, and a prison sentence of up to 10 years.. Return the exact quote and the official URL.","verify call failed: ServerError: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Creditors' Voluntary Liquidation,Occasional creditor contributions may be considered in rare circumstances to help cover liquidation costs.,contradicted,https://www.legislation.gov.uk/uksi/2016/1024/rule/6.42/made,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Occasional creditor contributions may be considered in rare circumstances to help cover liquidation costs.. Return the exact quote and the official URL.,Rule 6.42 of The Insolvency (England and Wales) Rules 2016 (in force) clearly states that the expenses of a Creditors' Voluntary Liquidation are payable out of the company's assets. There is no provision in authoritative UK legislation or official guidance for creditors to make contributions to cover liquidation costs. The general principle from official guidance is that liquidation costs are paid from the company's assets.
The Insolvency Service,"The Insolvency Service can seek compensation orders under Section 15A of the Company Directors Disqualification Act 1986, requiring a disqualified director to pay compensation for losses to creditors resulting from their misconduct.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): The Insolvency Service can seek compensation orders under Section 15A of the Company Directors Disqualification Act 1986, requiring a disqualified director to pay compensation for losses to creditors resulting from their misconduct.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
The Insolvency Service,Disqualification proceedings under the Company Directors Disqualification Act 1986 usually must be commenced against the director within three years of the date of the formal insolvency of the company.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Disqualification proceedings under the Company Directors Disqualification Act 1986 usually must be commenced against the director within three years of the date of the formal insolvency of the company.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Creditors' Voluntary Liquidation,Section 216 of the Insolvency Act 1986 (phoenixing rules) aims to prevent directors from deliberately winding up a company to avoid debts and then immediately restarting a similar business.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Section 216 of the Insolvency Act 1986 (phoenixing rules) aims to prevent directors from deliberately winding up a company to avoid debts and then immediately restarting a similar business.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Creditors' Voluntary Liquidation,An exception to the Section 216 (phoenixing) restrictions is purchasing the business from the liquidator with proper notice.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): An exception to the Section 216 (phoenixing) restrictions is purchasing the business from the liquidator with proper notice.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Voluntary Arrangement (CVA),"For a CVA to be approved, the resolution will be invalid if more than half of the total value of unconnected creditors who vote, vote against it.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): For a CVA to be approved, the resolution will be invalid if more than half of the total value of unconnected creditors who vote, vote against it.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Company Voluntary Arrangement (CVA),"A CVA is typically suitable for companies with debts over £10,000.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A CVA is typically suitable for companies with debts over £10,000.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Company Voluntary Arrangement (CVA),CVAs typically run for 3-5 years.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): CVAs typically run for 3-5 years.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Company Voluntary Arrangement (CVA),"A CVA binds all unsecured creditors (even those who voted against it), but does not bind secured or preferential creditors without their consent.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A CVA binds all unsecured creditors (even those who voted against it), but does not bind secured or preferential creditors without their consent.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
Administration,Administration typically lasts for one year but can be extended with creditor consent or a court order.,manual_review,,Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): Administration typically lasts for one year but can be extended with creditor consent or a court order.. Return the exact quote and the official URL.,skipped: per-run verification budget reached
Restructuring Plan,"A Restructuring Plan is a court-approved formal agreement under Part 26A of the Companies Act 2006, as amended by the Corporate Insolvency and Governance Act 2020, designed to reorganise debts for financially distressed companies, particularly powerful due to the 'cross-class cram down' mechanism.",manual_review,,"Confirm against an authoritative UK source (GOV.UK / The Insolvency Service / legislation.gov.uk / Companies House): A Restructuring Plan is a court-approved formal agreement under Part 26A of the Companies Act 2006, as amended by the Corporate Insolvency and Governance Act 2020, designed to reorganise debts for financially distressed companies, particularly powerful due to the 'cross-class cram down' mechanism.. Return the exact quote and the official URL.",skipped: per-run verification budget reached
