Review phase,Page,Primary audience,Assumed state,Formal action,Personal-risk context,Test fit,Variant,Urgency modifier,Block size,Alternative primary CTA,Confidence,Reviewed,Notes
1.1 Winding-up petitions,/liquidation/winding-up-petition-vs-compulsory-liquidation/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.1 Winding-up petitions,/winding-up-petitions/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.1 Winding-up petitions,/winding-up-petitions/dealing-with-an-hmrc-winding-up-petition/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.1 Winding-up petitions,/winding-up-petitions/what-is-a-winding-up-order/,Mixed,Already in process,Active,No,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
1.2 Statutory demands and enforcement,/company-cash-flow-problems/challenge-a-statutory-demand/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.2 Statutory demands and enforcement,/company-cash-flow-problems/what-is-a-statutory-demand-against-a-company/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.2 Statutory demands and enforcement,/hmrc/distraint-order-notice/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.2 Statutory demands and enforcement,/hmrc/hmrc-debt-enforcement-hub/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.2 Statutory demands and enforcement,/hmrc/hmrc-enforcement-action/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.2 Statutory demands and enforcement,/hmrc/notice-of-enforcement/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.2 Statutory demands and enforcement,/hmrc/what-can-hmrc-bailiffs-take/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.2 Statutory demands and enforcement,/hmrc/what-happens-if-hmrc-sends-bailiffs-to-a-business/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.2 Statutory demands and enforcement,/insolvency/what-is-a-high-court-writ/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.2 Statutory demands and enforcement,/liquidation/bailiffs-high-court-enforcement-officers/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.2 Statutory demands and enforcement,/liquidation/ccj-when-going-insolvent/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.3 CVL and insolvent liquidation,/liquidation/can-i-liquidate-a-dormant-company/,Director,Solvent,None,No,None,none,none,None,Solvent closure,Medium,ChatGPT — 6 Aug 2026,Solvent or mixed solvent-closure intent; the current test lacks a clearly solvent answer and should not be used here.
1.3 CVL and insolvent liquidation,/liquidation/can-i-liquidate-my-company-with-a-bounce-back-loan/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.3 CVL and insolvent liquidation,/liquidation/can-you-liquidate-to-avoid-paying-suppliers/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.3 CVL and insolvent liquidation,/liquidation/cant-afford-to-liquidate/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.3 CVL and insolvent liquidation,/liquidation/compulsory-liquidation/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.3 CVL and insolvent liquidation,/liquidation/creditors-voluntary-liquidation/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.3 CVL and insolvent liquidation,/liquidation/voluntary-vs-compulsory-liquidation/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.4 Cannot-pay HMRC,/advice/hmrcs-ir35-investigations-different/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/bounce-back-loan-support-hub/cant-pay-coronavirus-business-interruption-loan-cbils/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/company-cash-flow-problems/cant-pay-a-commercial-lease-or-rent/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/company-cash-flow-problems/cant-pay-a-company-mortgage/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/company-cash-flow-problems/cant-pay-business-energy/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/company-cash-flow-problems/cant-pay-business-rates/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/company-cash-flow-problems/cant-pay-staff-wages/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.4 Cannot-pay HMRC,/hmrc/,Director,Uncertain,None,No,Secondary,early_check,none,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page is broader or more informational; use the test as a compact secondary check rather than the main action.
1.4 Cannot-pay HMRC,/hmrc/accelerated-payment-notices-apn/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/can-hmrc-shut-down-my-business/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.4 Cannot-pay HMRC,/hmrc/cant-pay-paye/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/hmrc/cant-pay-vat/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/hmrc/controlled-goods-agreement/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.4 Cannot-pay HMRC,/hmrc/corporation-tax-penalties/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/hmrc-compliance-checks/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/hmrc-criminal-investigations/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/hmrc-follower-notice/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/hmrc-fraud-investigations/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/hmrc-offices-contact-guide/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/hmrc-penalties-investigations/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/hmrc-tax-investigations/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/hmrc-threatening-letters/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.4 Cannot-pay HMRC,/hmrc/joint-and-several-liability-for-unpaid-vat/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.4 Cannot-pay HMRC,/hmrc/pay-hmrc-or-suppliers-first/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.4 Cannot-pay HMRC,/hmrc/personal-liability-notices/,Director,Serious distress,Active,Yes,Secondary,personal_risk_secondary,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure and formal action are both present; direct advice should lead and the test must carry the personal-risk limitation.
1.4 Cannot-pay HMRC,/hmrc/problems-paying-corporation-tax-hmrc/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/hmrc/security-bond-notices/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/security-bonds/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/tax-penalties/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/time-to-pay-hmrc/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.4 Cannot-pay HMRC,/hmrc/understanding-hmrc-debt-collection/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.4 Cannot-pay HMRC,/hmrc/vat-penalties/,Director,Uncertain,Possible,No,None,none,none,None,Page-specific advice,High,ChatGPT — 6 Aug 2026,"The page’s main task is legal, regulatory or tax-specific rather than assessing insolvency; use specialist page-specific advice."
1.4 Cannot-pay HMRC,/hmrc/what-happens-if-hmrc-freezes-your-business-bank-account/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.4 Cannot-pay HMRC,/hmrc/what-happens-if-hmrc-rejects-your-time-to-pay-arrangement/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.4 Cannot-pay HMRC,/hmrc/what-happens-if-you-ignore-hmrc-letters/,Director,Serious distress,Possible,No,Secondary,serious_position,urgent_action,Compact,Direct advice,Medium,ChatGPT — 6 Aug 2026,The page concerns possible formal action; direct advice should lead and the test should remain a compact urgent secondary option.
1.4 Cannot-pay HMRC,/liquidation/hmrc-as-a-creditor-in-liquidation/,Director,Already in process,None,Yes,None,none,none,None,Process-specific advice,High,ChatGPT — 6 Aug 2026,The page concerns an existing insolvency process; the diagnostic question has already been overtaken by events.
1.4 Cannot-pay HMRC,/liquidation/paying-staff-but-not-hmrc-before-liquidation/,Director,Serious distress,None,Yes,Secondary,personal_risk_secondary,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,Personal exposure is the page concern; the test must be secondary and explicitly limited to the company’s financial position.
1.5 Rescue and restructuring,/advice/business-restructuring/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
1.5 Rescue and restructuring,/company-administration/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.5 Rescue and restructuring,/company-administration/light-touch-administration/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
1.5 Rescue and restructuring,/company-administration/notice-of-intention-to-appoint-administrators/,Director,Serious distress,Active,No,Secondary,serious_position,urgent_action,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,"Formal action appears to be under way; direct advice should lead because deadlines may be short, with the test secondary."
1.5 Rescue and restructuring,/company-administration/vs-administrative-receivership/,Director,Serious distress,None,No,Secondary,serious_position,none,Compact,Direct advice,High,ChatGPT — 6 Aug 2026,The page addresses a specific procedure or consequence; keep direct or page-specific advice primary and use the test as a compact diagnostic.
1.5 Rescue and restructuring,/company-administration/vs-cva/,Director,Serious distress,None,No,Primary,serious_position,none,Large,None,High,ChatGPT — 6 Aug 2026,The page assumes material distress but not a completed process; the serious-position diagnostic is a strong primary next step.
1.5 Rescue and restructuring,/company-rescue-solutions/,Director,Uncertain,None,No,Primary,early_check,none,Large,None,High,ChatGPT — 6 Aug 2026,Director is still assessing financial pressure; the test is a strong primary next step without implying a legal verdict.
